config_name,n_clusters,omega,n_train_trajectories,horizon,n_runs,relative_association_error_mean,relative_association_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,fit_seconds_mean
clean_tuned,15,0.5,1,1,3,0.00045685960979736364,2.9308855150042847e-05,0.9913879511648446,0.0006417603192590977,8.141635513917814e-16,1.1102230246251565e-15,0.40562860171000165
clean_tuned,15,0.5,1,10,3,0.006101970831319173,0.00041628313730296477,0.8852495235360699,0.009277956454547346,5.0330110449673766e-15,7.549516567451064e-15,0.40562860171000165
clean_tuned,15,0.5,1,50,3,0.03312712556692925,0.0015126207591986917,0.38581047078973585,0.0354498661444897,2.1168252336186317e-14,3.141931159689193e-14,0.40562860171000165
clean_tuned,15,0.5,1,100,3,0.04351189001263401,0.0020934022658766573,0.20827239925472904,0.048668069399131896,3.7414515929867775e-14,5.562217353372034e-14,0.40562860171000165
clean_tuned,15,0.5,1,200,3,0.056213708069146356,0.00318449312973805,-0.05665796572698756,0.07139606670610295,5.477100254817439e-14,7.838174553853605e-14,0.40562860171000165
clean_tuned,15,0.5,2,1,3,0.0004391507939038841,2.3000476331099506e-05,0.9919082424310369,0.00032520480035581705,8.141635513917814e-16,8.881784197001252e-16,0.8902098337809244
clean_tuned,15,0.5,2,10,3,0.004824702977381639,0.0001417652275990472,0.9112601111690504,0.0015802854969100817,4.6629367034256575e-15,5.329070518200751e-15,0.8902098337809244
clean_tuned,15,0.5,2,50,3,0.021331772163037836,0.0004048416477249399,0.6122967422762722,0.0020261601674278627,2.07981779946446e-14,2.531308496145357e-14,0.8902098337809244
clean_tuned,15,0.5,2,100,3,0.02959354580299485,0.00044400721396664925,0.47222786669642075,0.003191845905844893,3.123427442612107e-14,4.418687638008123e-14,0.8902098337809244
clean_tuned,15,0.5,2,200,3,0.02815724992014995,0.00019439892368394246,0.48144443463132586,0.011011122371824295,3.530509218307998e-14,5.684341886080802e-14,0.8902098337809244
clean_tuned,15,0.5,3,1,3,0.0004477000114721589,5.79316170673063e-05,0.991870365716536,0.0008441169061182234,9.251858538542972e-16,1.1102230246251565e-15,1.437373956044515
clean_tuned,15,0.5,3,10,3,0.0043999633573566415,0.0004978274290410134,0.9202391036323668,0.006981630234689659,5.662137425588298e-15,7.327471962526033e-15,1.437373956044515
clean_tuned,15,0.5,3,50,3,0.017563460573836412,8.185047282821584e-05,0.6854883702339237,0.006780919359896618,2.179737871680724e-14,3.241851231905457e-14,1.437373956044515
clean_tuned,15,0.5,3,100,3,0.02529599789939219,0.0011275623437883714,0.5553739663210949,0.03073966899722146,3.1567341333508616e-14,3.930189507173054e-14,1.437373956044515
clean_tuned,15,0.5,3,200,3,0.029012119186064486,0.00013644785502318915,0.47336705800319084,0.012165402423664921,4.189241546252257e-14,5.417888360170764e-14,1.437373956044515
clean_tuned,15,0.5,5,1,3,0.00034550113822875387,3.1753801203822606e-05,0.9936722090676275,0.0007340453630665338,9.992007221626409e-16,1.1102230246251565e-15,2.569135586420695
clean_tuned,15,0.5,5,10,3,0.00326876229526728,0.000228023433498957,0.9403154672644567,0.005633549251853246,6.106226635438361e-15,7.327471962526033e-15,2.569135586420695
clean_tuned,15,0.5,5,50,3,0.013367429872271713,0.00035649884950626905,0.7596733368710258,0.009231505013020827,2.64603154202329e-14,2.8976820942716586e-14,2.569135586420695
clean_tuned,15,0.5,5,100,3,0.020708628066221434,0.0007334978771919286,0.6355733502370315,0.02019692741492225,3.989401401819729e-14,4.39648317751562e-14,2.569135586420695
clean_tuned,15,0.5,5,200,3,0.02185022104814872,0.0025572195787844395,0.6024493550578827,0.05093106197570334,4.8220686702885964e-14,6.306066779870889e-14,2.569135586420695
clean_tuned,15,0.5,8,1,3,0.00038683269696012686,2.223994095225676e-05,0.9929464352172012,0.0003944017454974837,9.992007221626409e-16,1.3322676295501878e-15,4.730428139368693
clean_tuned,15,0.5,8,10,3,0.0031520074436668603,0.00020410381039648009,0.9426648309200559,0.003616939624821556,6.994405055138486e-15,1.1324274851176597e-14,4.730428139368693
clean_tuned,15,0.5,8,50,3,0.010623884354872654,0.00027975804450310743,0.80916367519999,0.004922674259229317,2.4498921410061787e-14,3.219646771412954e-14,4.730428139368693
clean_tuned,15,0.5,8,100,3,0.016718703549327595,0.0005787434685353498,0.7054086059787944,0.00988556837021547,2.912485067933327e-14,3.397282455352979e-14,4.730428139368693
clean_tuned,15,0.5,8,200,3,0.018747293451158314,0.0010889926984490688,0.6610084678479997,0.018483234078990926,3.6415315207705135e-14,4.6074255521943996e-14,4.730428139368693
old_default,20,4.0,1,1,3,0.0024205411827615867,0.0007249079012383502,0.9970484359038824,0.0008735784688102218,0.028112883581035517,0.03116498648955076,0.38054776191711426
old_default,20,4.0,1,10,3,0.021389682590394102,0.004637715292023365,0.973933714487132,0.0055742699009765475,0.1322775045631308,0.14945537121730965,0.38054776191711426
old_default,20,4.0,1,50,3,0.09259852700544903,0.007238338613254357,0.887979542469395,0.00861313249373287,0.11456661486563016,0.14463184759164555,0.38054776191711426
old_default,20,4.0,1,100,3,0.19439397617650397,0.006061945087046309,0.7660883141238997,0.00744289911549447,0.10870908616563266,0.12625756431308996,0.38054776191711426
old_default,20,4.0,1,200,3,0.18701846662861407,0.012959673474360013,0.7723963428330473,0.016094570775218957,0.06717065145661807,0.0706192625308357,0.38054776191711426
old_default,20,4.0,2,1,3,0.0021421831222604524,0.0004993059695576012,0.997384559620674,0.0006084271757847376,0.025425715840108006,0.0328709270273262,0.8808446725209554
old_default,20,4.0,2,10,3,0.01621833306245794,0.0034054644255740686,0.9802194630913923,0.004145752690956681,0.08355546961827409,0.10637379089507881,0.8808446725209554
old_default,20,4.0,2,50,3,0.08204466882204296,0.01047420019600663,0.9008052267676749,0.012540695458112048,0.13358991050396632,0.15601486300577017,0.8808446725209554
old_default,20,4.0,2,100,3,0.18516369646577374,0.016326533602594527,0.7775594935622396,0.01915518204410406,0.1140360144785584,0.14168825058525839,0.8808446725209554
old_default,20,4.0,2,200,3,0.17391993049834678,0.012847522108408602,0.7885742191072597,0.01542816565488014,0.07832218098860898,0.0995693946269812,0.8808446725209554
old_default,20,4.0,3,1,3,0.0017949061963241158,0.0001565319152202127,0.997807926356562,0.0001988242235315172,0.023511392772764747,0.024014792414981022,1.4196606477101643
