method,horizon,metric_space,relative_error,association_r2,simplex_violation,task
kahkm_nlms,1,kahkm_association,0.45609055464556936,0.1370890700885241,0.23541024799694193,CartPole-v1
kahkm_nlms_simplex_project_each_step,1,kahkm_association,0.4407621343161541,0.16609002462661693,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,1,own_association,0.801935111121622,0.0325729475838642,2.220446049250313e-16,CartPole-v1
kmeans_distance_nlms,1,own_association,0.49240665748034296,-0.018142707184225504,0.11732228767143944,CartPole-v1
kmeans_rbf_nlms,1,own_association,0.052215967564171795,0.2523033795314912,1.1102230246251565e-15,CartPole-v1
state_dmd,1,kahkm_association_of_predicted_state,0.5274195254945154,0.002136596423017223,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,1,kahkm_association_of_predicted_state,0.5222613588325592,0.01189570751525637,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,1,kahkm_association_of_predicted_state,0.4371961232082789,0.17283682069557427,4.440892098500626e-16,CartPole-v1
kahkm_nlms,5,kahkm_association,0.4448737487768418,0.15630779971176012,0.05605996128645733,CartPole-v1
kahkm_nlms_simplex_project_each_step,5,kahkm_association,0.44165802222124084,0.16240634659316133,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,5,own_association,0.7860440521558081,0.05208084890899811,4.440892098500626e-16,CartPole-v1
kmeans_distance_nlms,5,own_association,0.4576820150254973,0.055304825238706945,2.886579864025407e-15,CartPole-v1
kmeans_rbf_nlms,5,own_association,0.05094426880853914,0.2668857004621359,3.1086244689504383e-15,CartPole-v1
state_dmd,5,kahkm_association_of_predicted_state,0.5951432343648355,-0.12867460997299873,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,5,kahkm_association_of_predicted_state,0.5985830402400935,-0.13519811781188573,5.551115123125783e-16,CartPole-v1
state_edmd_poly3,5,kahkm_association_of_predicted_state,0.6125670356750517,-0.16171842365096722,4.440892098500626e-16,CartPole-v1
kahkm_nlms,10,kahkm_association,0.46319045502810113,0.12185698930419842,0.029975319828971902,CartPole-v1
kahkm_nlms_simplex_project_each_step,10,kahkm_association,0.4653453425245176,0.11777163008905855,5.551115123125783e-16,CartPole-v1
kmeans_hard_nlms,10,own_association,0.7819795868023898,0.05812739995034133,8.881784197001252e-16,CartPole-v1
kmeans_distance_nlms,10,own_association,0.4661075738479031,0.04072361219874798,3.9968028886505635e-15,CartPole-v1
kmeans_rbf_nlms,10,own_association,0.05103813621599263,0.2690514113322938,5.773159728050814e-15,CartPole-v1
state_dmd,10,kahkm_association_of_predicted_state,0.6402930468084312,-0.21390425417516745,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,10,kahkm_association_of_predicted_state,0.6400629878326309,-0.21346809518386323,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,10,kahkm_association_of_predicted_state,0.6456508216206309,-0.22406183072524932,4.440892098500626e-16,CartPole-v1
kahkm_nlms,20,kahkm_association,0.526515998030484,0.0072727324214793,0.021838309593914147,CartPole-v1
kahkm_nlms_simplex_project_each_step,20,kahkm_association,0.5290558945659228,0.0024838474550393785,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,20,own_association,0.8162010753838549,0.01719372939207431,1.5543122344752192e-15,CartPole-v1
kmeans_distance_nlms,20,own_association,0.5191772862869023,-0.060310242301613304,4.884981308350689e-15,CartPole-v1
kmeans_rbf_nlms,20,own_association,0.051844490288346125,0.2690897380672974,1.0880185641326534e-14,CartPole-v1
state_dmd,20,kahkm_association_of_predicted_state,0.6432041321014313,-0.21273861182713505,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,20,kahkm_association_of_predicted_state,0.6414985244043521,-0.20952274891885492,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,20,kahkm_association_of_predicted_state,0.6413659187993133,-0.2092727257468181,4.440892098500626e-16,CartPole-v1
kahkm_nlms,50,kahkm_association,0.5914409412489936,-0.10394853782333935,0.006057687435294282,CartPole-v1
kahkm_nlms_simplex_project_each_step,50,kahkm_association,0.5921003101397105,-0.10517927663769333,4.440892098500626e-16,CartPole-v1
kmeans_hard_nlms,50,own_association,0.9094812027635805,-0.09204644035594423,3.3306690738754696e-15,CartPole-v1
kmeans_distance_nlms,50,own_association,0.5486468152210723,-0.12720773076854397,6.439293542825908e-15,CartPole-v1
kmeans_rbf_nlms,50,own_association,0.05332674561122001,0.2677459442205259,2.4646951146678475e-14,CartPole-v1
state_dmd,50,kahkm_association_of_predicted_state,0.626559465160578,-0.16949868901989995,4.440892098500626e-16,CartPole-v1
state_edmd_poly2,50,kahkm_association_of_predicted_state,0.6287966536705687,-0.17367449223572695,4.440892098500626e-16,CartPole-v1
state_edmd_poly3,50,kahkm_association_of_predicted_state,0.6298685330132918,-0.17567519856258929,4.440892098500626e-16,CartPole-v1
