seed,n_pairs,n_train,n_test,effective_regimes,nlms_final_train_error,fit_and_eval_seconds
0,1200,900,300,15,0.0003073550638366199,0.6611111164093018
1,1200,900,300,15,0.00023158514965118608,0.5170528888702393
2,1200,900,300,15,0.0002081535013830014,0.49019527435302734
