abstraction,label,horizon,error_mean,error_std,r2_mean,n_runs
kahkm_folding_nlms,KAHKM folding,1,5.7377251368311628e-06,8.6888878399519536e-06,0.99423552582075914,3
kahkm_folding_nlms,KAHKM folding,2,1.23305940787772e-05,1.7816064462829507e-05,0.98747119805378636,3
kahkm_folding_nlms,KAHKM folding,5,3.5886347910523939e-05,4.5857127960678212e-05,0.96246350658206559,3
kahkm_folding_nlms,KAHKM folding,10,8.6315908697947715e-05,9.5780892645050617e-05,0.90650122119419529,3
kahkm_folding_nlms,KAHKM folding,20,0.00021080890043499232,0.00020240728184576866,0.75796413375665972,3
kahkm_folding_nlms,KAHKM folding,50,0.00049323731104615107,0.00037240306327716025,0.26715714756077436,3
kahkm_folding_nlms,KAHKM folding,100,0.00054009661835372348,0.00030960646050885515,-0.42308167839270344,3
kahkm_folding_nlms,KAHKM folding,200,0.00054367224628266476,0.00032511350143611309,-3.3186951849123667,3
kmeans_rbf_nlms,KMeans RBF,1,6.8706437002235602e-05,2.0260983676693647e-05,0.99496005491384754,3
kmeans_rbf_nlms,KMeans RBF,2,0.00025612811121164124,8.362528739766155e-05,0.98098548611606307,3
kmeans_rbf_nlms,KMeans RBF,5,0.0014511966664503449,0.00052110254245240782,0.88926056052747571,3
kmeans_rbf_nlms,KMeans RBF,10,0.0050837974157709768,0.0019936487273561165,0.59624227060223844,3
kmeans_rbf_nlms,KMeans RBF,20,0.01531726017279276,0.0069936881682740792,-0.31739052047911542,3
kmeans_rbf_nlms,KMeans RBF,50,0.034042531949192177,0.022923442702579382,-2.9293663915271364,3
kmeans_rbf_nlms,KMeans RBF,100,0.023453181564467809,0.01368758001618596,-2.663452237399607,3
kmeans_rbf_nlms,KMeans RBF,200,0.024497259821783024,0.017814113686035755,-12.405838441206624,3
kmeans_distance_nlms,KMeans distance,1,0.0019158556940508135,0.0011834047127522711,0.9923508898143748,3
kmeans_distance_nlms,KMeans distance,2,0.0071153263182687819,0.00447485378157194,0.97166872081170697,3
kmeans_distance_nlms,KMeans distance,5,0.037982910150065635,0.024286143083633371,0.84891293313239913,3
kmeans_distance_nlms,KMeans distance,10,0.11902826384088545,0.07831987338771787,0.52600566318721687,3
kmeans_distance_nlms,KMeans distance,20,0.29557718056177978,0.21414654023160015,-0.19362364801648335,3
kmeans_distance_nlms,KMeans distance,50,0.51006919380374782,0.55585676512711324,-1.4087132496715915,3
kmeans_distance_nlms,KMeans distance,100,0.41052540311354974,0.56349073426716878,-1.3588265009789691,3
kmeans_distance_nlms,KMeans distance,200,0.58295816778870058,0.80862780928450029,-8.3226057883744105,3
kmeans_hard_nlms,KMeans hard,1,0.021163909322775277,0.010866578917205974,0.94110724048874539,3
kmeans_hard_nlms,KMeans hard,2,0.047499444489912938,0.026444634404289267,0.86919291348255301,3
kmeans_hard_nlms,KMeans hard,5,0.13836851374859768,0.082658639075379278,0.62336905533984621,3
kmeans_hard_nlms,KMeans hard,10,0.27912446049430856,0.1667469776857512,0.24350101326407911,3
kmeans_hard_nlms,KMeans hard,20,0.43000387048194577,0.27072309168560282,-0.18863725348553173,3
kmeans_hard_nlms,KMeans hard,50,0.42601090614721754,0.44436500855885286,-0.46325775273987646,3
kmeans_hard_nlms,KMeans hard,100,0.28335273320916504,0.49076546111335245,-0.8271153969702485,3
kmeans_hard_nlms,KMeans hard,200,0.39345087737415968,0.68146125098060306,-5.6157103031484308,3
