n_clusters,omega,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
10,0.5,1,3,0.00036577023962109165,5.6581357877828615e-05,0.00032065183762647245,0.00042925250759031665,0.9951877388482089,0.000747690964569474,7.031412489292658e-16,7.771561172376096e-16
15,0.5,1,3,0.0004349552857684274,2.5981984675620176e-05,0.00041179241341202257,0.00046304958165761974,0.991694320418822,0.00044359607844132205,7.031412489292658e-16,7.771561172376096e-16
20,0.5,1,3,0.0005280861765261368,3.0111575626226033e-05,0.0004973941744812876,0.0005575816561450736,0.9886408967269332,0.0006165574240346518,9.251858538542972e-16,9.992007221626409e-16
25,0.5,1,3,0.0007315803094680291,9.101742320792258e-06,0.0007213960437089638,0.0007389201659706187,0.9837707619971744,0.0010564819430044312,8.881784197001252e-16,8.881784197001252e-16
10,1.0,1,3,0.0009044893078376249,7.766065099401344e-05,0.0008157912522328375,0.0009602693422344305,0.9964716326112969,0.00031348571693759145,8.141635513917814e-16,8.881784197001252e-16
30,0.5,1,3,0.000906533263029025,3.5226657081077304e-05,0.000867216790897205,0.000935223588190968,0.9787464555884188,0.0015096836904104855,9.992007221626409e-16,1.1102230246251565e-15
40,0.5,1,3,0.0012450517405451342,6.533614532394741e-05,0.001181641075821631,0.0013121566150689616,0.9710263324873117,0.004407511118599634,1.1842378929335002e-15,1.3322676295501878e-15
15,1.0,1,3,0.0012534281854610079,9.178961892532023e-05,0.00117137793148736,0.001352557968109839,0.9941448376606755,0.0004025964431368703,8.511709855459534e-16,9.992007221626409e-16
15,4.0,1,3,0.0013115754647288547,0.00025608083079049776,0.0010162159777226476,0.0014714810814083097,0.9983303909190385,0.00031802689355863145,0.019908845252095336,0.020310183499277962
10,2.0,1,3,0.0013584193740257394,0.00011533602251469795,0.0012553855304926367,0.001483014462193809,0.9976203916379669,0.00020201214530418172,0.00025357325370807266,0.0004626148854493513
50,0.5,1,3,0.0014421092406324482,3.8276436646464846e-05,0.0014123018635802819,0.001485274666672409,0.9697302727271436,0.0034123224689080463,1.4062824978585316e-15,1.5543122344752192e-15
10,4.0,1,3,0.0016262675928084547,4.1608023322143796e-05,0.0015790230145509775,0.0016574522872245935,0.9978452420474208,5.312898377647923e-05,0.010234820361274691,0.010778424370362085
20,1.0,1,3,0.0017793595304523805,0.00013010489591360388,0.001647306811024522,0.0019074249376241016,0.9912452865897627,0.0005807430857939011,1.0362081563168128e-15,1.3322676295501878e-15
20,6.0,1,3,0.001842992573250654,0.00031657892609000685,0.0015083703664783856,0.0021377524918350667,0.9978202182981525,0.0003581508920298208,0.023820970038708932,0.024706214236245375
20,4.0,1,3,0.0018889676089864325,0.0004562357296894676,0.0014896559613020658,0.0023862199668524147,0.9976467917053333,0.0005483125379307279,0.019567637851987254,0.020826889026260963
15,2.0,1,3,0.0019257643865806435,0.00018124580213850722,0.0017252647160213481,0.002077975287785091,0.9966008276323683,0.000295752327974905,1.2582527612418441e-15,1.3322676295501878e-15
15,6.0,1,3,0.0019418666124863336,0.00028826911845099507,0.0016121287416826955,0.0021461536537651007,0.997662562809649,0.0003333468076343479,0.02238305252291146,0.02350332746584102
25,6.0,1,3,0.0023660762728916584,0.0002107172302977089,0.002126984431874069,0.0025247127269533796,0.9972656392487093,0.00023843788165839308,0.033377597660373286,0.04223189827730334
10,6.0,1,3,0.002547461456177055,4.724108704930817e-05,0.0025017219395952507,0.0025960730631340388,0.9968057268785911,6.868181974669678e-05,0.020095524640563456,0.02111146313887212
25,1.0,1,3,0.0026264843895781875,3.7553055949230123e-05,0.002583287448354476,0.0026513616119056256,0.9869951976676742,0.0004786364362336991,1.1102230246251565e-15,1.3322676295501878e-15
30,6.0,1,3,0.00273289307053578,0.00011574302438783909,0.0025995297354087818,0.002807132074091342,0.9968701875700727,0.00012174882835848027,0.03429279868435721,0.04212877008521171
20,8.0,1,3,0.0029635221666520755,0.00028442731690070643,0.0026424314836855064,0.0031838544513870565,0.9965718876787942,0.00030826483131647463,0.02515586442008981,0.02580351585700073
30,8.0,1,3,0.0031054277408075898,1.0454423405506797e-05,0.0030967594078677866,0.003117037893243335,0.9965102295041662,8.942526868496861e-06,0.03949714503311165,0.05013130350438755
25,8.0,1,3,0.0031097593164656156,0.00010874732249722583,0.0029889970035224213,0.0031999453044209364,0.9964783827372731,0.00011711565091786755,0.03849304665103981,0.05034423880356806
20,2.0,1,3,0.003148494692544534,0.0003569756046450136,0.002807492180796187,0.003519544066205093,0.9945262333686763,0.0005685167574640381,1.5173048003210472e-15,2.1094237467877974e-15
15,8.0,1,3,0.003206537863914382,0.00032236835072625773,0.0028740276821102436,0.003517703574846184,0.9962317876602368,0.0003511497019483871,0.02309944335498697,0.02449246638751931
25,4.0,1,3,0.0033044611700821526,0.00024067214342497675,0.0030278513832555053,0.0034659684339467933,0.9959922841704651,0.0002850157495219274,0.021453116022012792,0.022440201418065474
40,8.0,1,3,0.003357105222591255,4.735730956788464e-05,0.003328708351895457,0.0034117749819911666,0.9962795167547752,4.851901667835907e-05,0.03368575255904734,0.035378700305108146
30,1.0,1,3,0.003390397075454348,0.0001410125011441124,0.0032293677994119038,0.003491809193511522,0.982815508770409,0.0008829313130910548,1.2582527612418441e-15,1.3322676295501878e-15
10,8.0,1,3,0.003738386668143922,8.057213262661387e-05,0.0036486317366088614,0.0038044751629966495,0.9954246796266991,0.00011058586388866155,0.02277680044006716,0.023578838146881786
40,6.0,1,3,0.004138067171926497,8.024738554021632e-05,0.0040615995639124,0.004221623945601165,0.9953362047832558,8.561101998692199e-05,0.030652453392177936,0.03187084850302258
30,4.0,1,3,0.004253404451593738,0.00023050645984317719,0.00399503667150527,0.004437976026989069,0.994904507231671,0.0002561259057769137,0.022658036580407128,0.02367043600687764
50,8.0,1,3,0.004325193026455932,0.0002812381750673395,0.004008505552056388,0.004545799864960059,0.9952435676275543,0.00031265967368823114,0.03352616200335568,0.034473008350218694
40,1.0,1,3,0.005007914139592252,0.0003070672953270239,0.004700269870686481,0.0053144011905011754,0.9745408454372736,0.002722100252929728,1.4802973661668755e-15,1.7763568394002505e-15
25,2.0,1,3,0.005051310581144522,7.341711953477069e-05,0.005003388223817146,0.005135832961843204,0.9914558585863343,0.00013149536311750866,1.1842378929335002e-15,1.2212453270876722e-15
50,12.0,1,3,0.005591500638508654,0.0001363979593224272,0.005498655720486171,0.005748101449319926,0.9939628793590293,0.0001461598471635456,0.0344051728979835,0.04145947708619985
40,12.0,1,3,0.005668050341316187,0.00021414074849933996,0.005487608807689864,0.005904684563367564,0.9938384232469559,0.00021897312166477758,0.03747118459522502,0.03885032550856875
15,12.0,1,3,0.005812992167064108,0.00040841901275790496,0.005499707866493726,0.006274914189342584,0.9933315191016273,0.00041835898302451234,0.02792964578302992,0.02955041028974652
50,6.0,1,3,0.005836361516864441,0.0004077197768624833,0.0053689556865307445,0.006118893304354371,0.9934796004013905,0.0004588564398966868,0.03312146959120285,0.03512261918198326
10,12.0,1,3,0.0059772256804017385,0.00011273959258425622,0.0058489710974982895,0.006060673613904408,0.9928535977999363,0.00014875787195329457,0.021202661572504857,0.021640211486385137
50,1.0,1,3,0.006057839998964493,0.00023770871917174486,0.005867590321644232,0.0063243101917487545,0.9700273448864417,0.0021978373996115242,1.6653345369377348e-15,1.7763568394002505e-15
20,12.0,1,3,0.006067689640311892,0.00040404885007295767,0.005703347298634968,0.0065022424007945105,0.9931462790114564,0.00043151313723820297,0.03234835682977958,0.03437017223083293
30,12.0,1,3,0.006557168089535948,0.00013880614474479961,0.006415191941602191,0.006692570648537896,0.9927838231843674,0.0001713134377328433,0.04522466093079708,0.05164375381189743
25,12.0,1,3,0.0065609626177126935,0.0001331867031073764,0.006428410782834278,0.006694775237672726,0.9927301675608337,0.00015811733340585088,0.0426634843405507,0.051705563075925755
30,2.0,1,3,0.006689013853609093,0.0002591949734389848,0.006390040095615742,0.006850461220870723,0.9888166950585133,0.0004055158782922495,1.4802973661668755e-15,1.7763568394002505e-15
40,4.0,1,3,0.00718299006851502,0.00025790205285708574,0.006891220183747262,0.00738051046020319,0.9915702600790383,0.0002974629834036228,0.023639123632554323,0.029474173860771155
50,4.0,1,3,0.010013723379363827,0.0005850018166984088,0.009421542885745194,0.010591272011682676,0.9883665134398433,0.0006657634987847076,0.029113692742783248,0.029982972585448298
40,2.0,1,3,0.010710801393564355,0.0006008185407827562,0.010063111815361313,0.01124995195746928,0.982482125841382,0.0010916952375694365,0.0006174267426828081,0.001843585939704009
50,2.0,1,3,0.01382334306851405,0.0006509838837731435,0.013355736240339684,0.01456684041783678,0.9775564216146161,0.0010034938115962198,0.0030049547055229467,0.004129311782146786
15,0.5,10,3,0.005445348076812438,0.0004100321320243108,0.0051593807810804285,0.0059151242867437285,0.8966348901663274,0.007558435032442114,5.218048215738236e-15,5.551115123125783e-15
10,0.5,10,3,0.005695209070122092,0.0005934913651246673,0.005227062431022409,0.006362711788423673,0.9254560637662631,0.007873676357349915,4.69994413757983e-15,5.218048215738236e-15
20,0.5,10,3,0.007438376223762068,0.00037378735468065116,0.007050384294772179,0.007796121031911517,0.840907430417373,0.0077573930535667435,5.8471745963591575e-15,6.8833827526759706e-15
25,0.5,10,3,0.010530338896140615,0.00014926871806433055,0.010392186547721432,0.01068867086378832,0.7674312592847455,0.015229393970474224,3.92278802034222e-15,4.440892098500626e-15
10,1.0,10,3,0.011653255989430733,0.0007972607530729664,0.010927411051058135,0.012506572741281127,0.9547707275323435,0.0031307033333109763,0.0009562219665056648,0.0018110347942143779
15,1.0,10,3,0.011995155612282288,0.00148538282373583,0.01065442164741094,0.01359190613280016,0.9443047678109013,0.00668174511323379,4.847973874196517e-15,5.551115123125783e-15
30,0.5,10,3,0.013032557615917923,0.0004101455653495198,0.012781202349952434,0.013505848226908453,0.6963045551466965,0.017877715092749127,4.033810322804736e-15,5.10702591327572e-15
20,4.0,10,3,0.015247138511131547,0.002335141685010014,0.01255280967105293,0.01668557595682394,0.9811030100114331,0.00274387334818048,0.07322916571613186,0.08137523684723166
15,2.0,10,3,0.01612763722274053,0.0026028975638623005,0.013630844117784535,0.01882503131532805,0.9717161483588969,0.004315318514142104,0.05234278648844184,0.058657772233395154
20,1.0,10,3,0.01667936728353739,0.0010411403684899283,0.0156005070670183,0.017678165154933,0.9183894144594812,0.0045893795071540395,6.439293542825908e-15,9.547918011776346e-15
40,0.5,10,3,0.018028097422477463,0.0008015474086719346,0.017299389167850024,0.018886634165913064,0.5829932111133118,0.06008989926716017,4.625929269271485e-15,6.439293542825908e-15
30,6.0,10,3,0.019067014824926305,0.0014479968242598297,0.01746384160383969,0.02027978450961011,0.9782497154897687,0.0016996041367585357,0.0880149999332095,0.10657683347485473
10,2.0,10,3,0.019855544754381085,0.0006436012356658108,0.019151854225329352,0.02041436170789539,0.9654268241634925,0.001148049681758957,0.0346045977509885,0.03841861816943135
25,6.0,10,3,0.020229774613508285,0.0006873208205810141,0.01948053670516967,0.020831091225220498,0.9767160313121871,0.0008230941238544417,0.10016251200457894,0.11704188252972364
15,4.0,10,3,0.020545875280953852,0.0034133984818533938,0.016934046544949448,0.023718284830889995,0.9739942987372584,0.004115660529484497,0.10192996057939889,0.10920645598422196
50,0.5,10,3,0.020590465367493937,0.0004135646800718932,0.02023165181903862,0.021042773905524333,0.570843821927165,0.0462444286199824,4.107825191113079e-15,4.6629367034256575e-15
25,4.0,10,3,0.020875909856883323,0.0015487613724759306,0.01966605351682223,0.022621385051890923,0.97479983239131,0.0018448090857075483,0.06890710335398553,0.07771660297953377
20,2.0,10,3,0.02121009866285298,0.0020642784303685933,0.0188922119158019,0.02285049422400335,0.9633346716899384,0.003227928533797277,0.046594901172461595,0.05114115905833799
40,8.0,10,3,0.021475171841927432,0.0014821692124334295,0.020416157202100157,0.02316902085084785,0.9762719700576147,0.0017222205176027007,0.07512596432433562,0.07807723478956582
40,6.0,10,3,0.023356071664207265,0.0011367179714926034,0.02249488146329102,0.02464450784849073,0.9737685837929902,0.0013707820811269793,0.0671507544964411,0.07681583370347833
30,4.0,10,3,0.023745219952045652,0.0014962046922306724,0.02272266867489559,0.02546248901732423,0.9716890174465794,0.0017132564975744307,0.0762140439955817,0.08383771220627222
25,1.0,10,3,0.025211845388663858,0.00015482473858556515,0.025052319978991745,0.02536149680810962,0.8757336187362726,0.0035162589212046464,6.29126380620922e-15,7.327471962526033e-15
