task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n
CartPole-v1,kahkm_nlms,kahkm_association,1,0.14336540753022625,0.0,0.27434481253208853,0.0,0.005328043143690422,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,10,0.17243798834723917,0.0,0.12643400172050012,0.0,2.6645352591003757e-15,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,20,0.18067273271526574,0.0,0.08392972976651336,0.0,4.440892098500626e-15,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,5,0.1692943916067901,0.0,0.1427230695034586,0.0,1.9984014443252818e-15,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,50,0.1908104838974404,0.0,0.02624217075957147,0.0,8.215650382226158e-15,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.1433438166061631,0.0,0.27445409667753595,0.0,4.440892098500626e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.17242409338638917,0.0,0.12650439320130047,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.18067422697996874,0.0,0.08392215335224362,0.0,5.551115123125783e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.16931721135155475,0.0,0.14260751434205676,0.0,4.440892098500626e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.1908203406430707,0.0,0.026191869104063348,0.0,4.440892098500626e-16,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,1,0.4870002630546015,0.0,0.09781090171288576,0.0,0.0678846684098217,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,10,0.4917216797576531,0.0,0.09249998820086469,0.0,0.04850370205013028,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,20,0.5534938344620075,0.0,-0.018128644834366936,0.0,0.03099464445544096,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,5,0.46743878169170333,0.0,0.13610339240411085,0.0,0.055608994091627305,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,50,0.5945230901704447,0.0,-0.13495260815897536,0.0,8.659739592076221e-15,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,1,0.7778315912684072,0.0,0.08104005398179293,0.0,2.220446049250313e-16,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,10,1.0614743158281308,0.0,-0.2521978127712694,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,20,1.0721891539040345,0.0,-0.26556273286803234,0.0,1.3322676295501878e-15,0.0,1
