task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n
CartPole-v1,kahkm_nlms,kahkm_association,1,0.2933844681930408,0.0,0.2892330434146191,0.0,0.026912136811691825,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,10,0.3210989441462361,0.0,0.222035878668272,0.0,0.003499330152245928,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,20,0.34583895085565813,0.0,0.16319619380431383,0.0,0.003619244543888836,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,5,0.32015887970068324,0.0,0.2241263226357476,0.0,0.004688719987770198,0.0,1
CartPole-v1,kahkm_nlms,kahkm_association,50,0.36617562344318216,0.0,0.11332624654139711,0.0,0.00020040916770377136,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.29106211133343224,0.0,0.294859293936249,0.0,7.771561172376096e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.32094196685462484,0.0,0.22241620598782164,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.3455552782553258,0.0,0.16388257777316473,0.0,5.551115123125783e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.3201982543640655,0.0,0.22403090199677622,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.3661092003984689,0.0,0.11348708622214454,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,1,0.2624809931624305,0.0,0.5111259387116434,0.0,0.016440526704293124,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,10,0.33914979902614095,0.0,0.363907702711996,0.0,0.0010714693715692288,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,20,0.38833666881718965,0.0,0.2618600059193408,0.0,0.006406838035791807,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,5,0.30288492508899423,0.0,0.43617579178592625,0.0,0.013738265533678448,0.0,1
CartPole-v1,kmeans_distance_nlms,own_association,50,0.4598414893985528,0.0,0.1109001509882852,0.0,0.005693314162063839,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,1,0.7332146724174652,0.0,0.17046841528078693,0.0,2.220446049250313e-16,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,10,0.9128050357030201,0.0,-0.03320828506955387,0.0,9.992007221626409e-16,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,20,0.9578857144346048,0.0,-0.0843713155434973,0.0,1.6653345369377348e-15,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,5,0.8642680845046702,0.0,0.021911734226894075,0.0,5.551115123125783e-16,0.0,1
CartPole-v1,kmeans_hard_nlms,own_association,50,0.9370009854308534,0.0,-0.06207421636332011,0.0,3.774758283725532e-15,0.0,1
CartPole-v1,kmeans_rbf_nlms,own_association,1,0.05275579881225073,0.0,0.18751955645752827,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,kmeans_rbf_nlms,own_association,10,0.0500500720365503,0.0,0.22957784756884048,0.0,3.552713678800501e-15,0.0,1
CartPole-v1,kmeans_rbf_nlms,own_association,20,0.05076683915244003,0.0,0.23061517148340682,0.0,5.773159728050814e-15,0.0,1
CartPole-v1,kmeans_rbf_nlms,own_association,5,0.050521465681149874,0.0,0.2188302882417842,0.0,1.9984014443252818e-15,0.0,1
CartPole-v1,kmeans_rbf_nlms,own_association,50,0.051462354126357586,0.0,0.23899965907597487,0.0,1.1324274851176597e-14,0.0,1
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,1,0.3890649540834606,0.0,0.05743301603144735,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,10,0.4622998369441145,0.0,-0.120068106721132,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,20,0.4625115431952075,0.0,-0.11910881870771228,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,5,0.45140597317193587,0.0,-0.09393814944796453,0.0,6.661338147750939e-16,0.0,1
CartPole-v1,state_dmd,kahkm_association_of_predicted_state,50,0.45326098345314125,0.0,-0.09754607288077621,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,1,0.3908464437470867,0.0,0.05311709571636547,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,10,0.4613966015787999,0.0,-0.1178797323270615,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,20,0.462274628547891,0.0,-0.11853557188826791,0.0,7.771561172376096e-16,0.0,1
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,5,0.45500136562600246,0.0,-0.10265123080154859,0.0,1.1102230246251565e-15,0.0,1
CartPole-v1,state_edmd_poly2,kahkm_association_of_predicted_state,50,0.4532557991492956,0.0,-0.09753351937951726,0.0,9.992007221626409e-16,0.0,1
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,1,0.3407412345627406,0.0,0.1745043227238937,0.0,7.771561172376096e-16,0.0,1
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,10,0.45700896571103905,0.0,-0.10724929163326835,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,20,0.4709627302033193,0.0,-0.13955760111860704,0.0,1.1102230246251565e-15,0.0,1
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,5,0.4570406440273982,0.0,-0.10759322220887602,0.0,8.881784197001252e-16,0.0,1
CartPole-v1,state_edmd_poly3,kahkm_association_of_predicted_state,50,0.4625893755730025,0.0,-0.12013425168108993,0.0,8.881784197001252e-16,0.0,1
