estimator,split,closure_error,association_r2,simplex_violation,spectral_radius,fro_norm,min_entry,max_entry,row_sum_min,row_sum_max,seed
nlms,train,0.0003073550638366199,0.9985599308333939,0.005378938432127298,0.9999999999999999,3.854010733225574,-0.03253446511973847,1.0016893287894122,0.999999999999997,1.0000000000000049,0
nlms,test,7.553990523704365e-07,0.9988380937857112,2.3275125109620167e-05,0.9999999999999999,3.854010733225574,-0.03253446511973847,1.0016893287894122,0.999999999999997,1.0000000000000049,0
ols,train,0.0002500531661890269,0.9988284108608912,0.004179421556150297,0.9999999999999992,3.8433584938395042,-0.09076340631284574,1.0202809293490658,0.9999999999999959,1.000000000000001,0
ols,test,1.8156004332197165e-06,0.9972073602430348,0.00012390390529806313,0.9999999999999992,3.8433584938395042,-0.09076340631284574,1.0202809293490658,0.9999999999999959,1.000000000000001,0
row_stochastic_nlms,train,0.0005416233983299679,0.9974622993156149,6.661338147750939e-16,0.9999999999999991,3.8217775523828323,0.0,0.9949989652817426,0.9999999999999998,1.0000000000000002,0
row_stochastic_nlms,test,3.101347558532628e-05,0.9522970674953728,4.440892098500626e-16,0.9999999999999991,3.8217775523828323,0.0,0.9949989652817426,0.9999999999999998,1.0000000000000002,0
ridge_1e-10,train,0.0002500531661890268,0.9988284108608912,0.004179421558516421,1.0000000000001945,3.843358489388797,-0.09076340515830597,1.0202809288837493,0.9999999996960062,1.0000000005128393,0
ridge_1e-10,test,1.8156004323136998e-06,0.9972073602444284,0.00012390390602810556,1.0000000000001945,3.843358489388797,-0.09076340515830597,1.0202809288837493,0.9999999996960062,1.0000000005128393,0
ridge_1e-08,train,0.00025005316618919833,0.9988284108608905,0.004179421792799301,1.0000000000195437,3.8433580487600865,-0.09076329085681284,1.0202808828183239,0.9999999695943329,1.0000000513113796,0
ridge_1e-08,test,1.8156003425629042e-06,0.9972073603824773,0.00012390397831260865,1.0000000000195437,3.8433580487600865,-0.09076329085681284,1.0202808828183239,0.9999999695943329,1.0000000513113796,0
ridge_1e-06,train,0.00025005316790250497,0.998828410852863,0.0041794452170308685,1.0000000019487087,3.8433139883175285,-0.09075186134734055,1.020276276388115,0.9999969595870065,1.0000051309584228,0
ridge_1e-06,test,1.8155914778617204e-06,0.9972073740175902,0.00012391120650950127,1.0000000019487087,3.8433139883175285,-0.09075186134734055,1.020276276388115,0.9999969595870065,1.0000051309584228,0
ridge_0.0001,train,0.0002500701645475887,0.9988283312174595,0.004181747144710902,1.0000001436278436,3.8389320159652747,-0.08961518888469437,1.0198167583949802,0.9996976360722041,1.0005110180874595,0
ridge_0.0001,test,1.8158033605849749e-06,0.9972070481132195,0.00012463150927007272,1.0000001436278436,3.8389320159652747,-0.08961518888469437,1.0198167583949802,0.9996976360722041,1.0005110180874595,0
ridge_0.01,train,0.00034383459009647836,0.9983890111149306,0.0041143098160500565,0.9999436146633351,3.547786233025701,-0.05719114241111594,0.9820573348566205,0.9806205622702082,1.036662479688025,0
ridge_0.01,test,8.904344660338936e-06,0.986303910016101,0.00020088683371788374,0.9999436146633351,3.547786233025701,-0.05719114241111594,0.9820573348566205,0.9806205622702082,1.036662479688025,0
nlms,train,0.00023158514965118608,0.9988156460847881,0.005353018885793091,0.9999999999999994,3.8556048870711126,-0.031712483479968225,1.0013414593162517,0.9999999999999941,1.0000000000000056,1
nlms,test,6.870653233891931e-07,0.9992224817173452,4.4948241369699846e-05,0.9999999999999994,3.8556048870711126,-0.031712483479968225,1.0013414593162517,0.9999999999999941,1.0000000000000056,1
ols,train,0.00016996414188756234,0.9991307832251188,0.004091574502214817,1.0000000000000004,3.8481245164100732,-0.08583956628322728,1.0147641287117277,0.9999999999999972,1.0000000000000027,1
ols,test,1.873719555118227e-06,0.9978796030579947,0.00022244025755738944,1.0000000000000004,3.8481245164100732,-0.08583956628322728,1.0147641287117277,0.9999999999999972,1.0000000000000027,1
row_stochastic_nlms,train,0.00044368373445184965,0.9977309487728148,4.440892098500626e-16,0.9999999999999987,3.825637411399139,0.0,0.9971560262100423,0.9999999999999999,1.0000000000000002,1
row_stochastic_nlms,test,1.3469278294496904e-05,0.9847574753496837,4.440892098500626e-16,0.9999999999999987,3.825637411399139,0.0,0.9971560262100423,0.9999999999999999,1.0000000000000002,1
ridge_1e-10,train,0.00016996414188756234,0.9991307832251188,0.0040915745030036645,0.9999999999989274,3.8481245112860902,-0.08583956537415223,1.014764128157349,0.9999999997712057,1.0000000001946887,1
ridge_1e-10,test,1.873719549848716e-06,0.997879603063958,0.00022244025790585064,0.9999999999989274,3.8481245112860902,-0.08583956537415223,1.014764128157349,0.9999999997712057,1.0000000001946887,1
ridge_1e-08,train,0.0001699641418877678,0.9991307832251178,0.004091574581074017,0.9999999998927104,3.8481240040198084,-0.08583947537871842,1.0147640732736551,0.99999997713742,1.0000000194646732,1
ridge_1e-08,test,1.873719028215848e-06,0.9978796036542644,0.00022244029238439097,0.9999999998927104,3.8481240040198084,-0.08583947537871842,1.0147640732736551,0.99999997713742,1.0000000194646732,1
ridge_1e-06,train,0.00016996414394239215,0.9991307832146102,0.0040915823840303065,0.9999999892738205,3.848073280188606,-0.08583047623366206,1.014758585012731,0.9999977138503198,1.0000019463449983,1
