training_noise,noise_level,E50_mean,E50_std,E100_mean,E100_std,E200_mean,E200_std,E50_table_cell,E100_table_cell,E200_table_cell
0%,0,0.013347435040322733,0.00019724660819313985,0.017935253787578018,0.00052232177778587137,0.016402396201900517,0.0010366826672318545,$(1.33\pm0.02)\times10^{-2}$,$(1.79\pm0.05)\times10^{-2}$,$(1.64\pm0.10)\times10^{-2}$
0.5%,0.0050000000000000001,0.013423846717086454,0.0015766086061767975,0.01809281264857442,0.0019398335550921671,0.017428281026887638,0.0049287114420677562,$(1.34\pm0.16)\times10^{-2}$,$(1.81\pm0.19)\times10^{-2}$,$(1.74\pm0.49)\times10^{-2}$
1%,0.01,0.01128223785453971,0.00028540839424106348,0.015993763806791413,0.0012235465139958017,0.016814110767727455,0.0034068911746726938,$(1.13\pm0.03)\times10^{-2}$,$(1.60\pm0.12)\times10^{-2}$,$(1.68\pm0.34)\times10^{-2}$
2%,0.02,0.012731067916303046,0.00022977745900484945,0.019012935465789142,0.0011387970324595463,0.021755068524191047,0.001749766865142206,$(1.27\pm0.02)\times10^{-2}$,$(1.90\pm0.11)\times10^{-2}$,$(2.18\pm0.17)\times10^{-2}$
5%,0.050000000000000003,0.014088672585429174,0.00060445867173823285,0.025240337615969638,0.0031941352973169582,0.037964723261703595,0.0040426967608477374,$(1.41\pm0.06)\times10^{-2}$,$(2.52\pm0.32)\times10^{-2}$,$(3.80\pm0.40)\times10^{-2}$
