n_clusters,omega,horizon,n_runs,relative_association_error_mean,relative_association_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,train_closure_error_mean,fit_seconds_mean
8,2.0,1,3,1.5868270970137483e-05,2.2432715539000757e-05,0.980018878209656,0.027631368891292307,4.070817756958907e-16,4.440892098500626e-16,0.00010903689028771468,0.6653784910837809
8,2.0,10,3,0.00019035120168285738,0.0002684302374021199,0.739264978390895,0.30656648832768896,9.251858538542972e-16,1.2212453270876722e-15,0.00010903689028771468,0.6653784910837809
8,2.0,50,3,0.0009627729721214176,0.0013522757472768587,-0.49212065536281263,1.2112130364889706,3.2566542055671257e-15,4.6629367034256575e-15,0.00010903689028771468,0.6653784910837809
8,2.0,100,3,0.001393230322627975,0.001955108733779995,-1.5243434004670209,1.581905778477717,5.662137425588298e-15,8.770761894538737e-15,0.00010903689028771468,0.6653784910837809
8,2.0,200,3,0.0009393980916225676,0.0013002199062763522,-119.74860538097873,164.87142031141013,1.0325074129013956e-14,1.7430501486614958e-14,0.00010903689028771468,0.6653784910837809
8,4.0,1,3,1.018220347602435e-06,1.4211668261311973e-06,0.9908501713193509,0.012505945825912862,4.440892098500626e-16,4.440892098500626e-16,9.432993887505554e-05,0.6085132757822672
8,4.0,10,3,1.618874259781259e-05,2.1290060010608256e-05,0.8417072123179019,0.18363532715795383,1.2212453270876722e-15,1.5543122344752192e-15,9.432993887505554e-05,0.6085132757822672
8,4.0,50,3,0.00011478947674077601,0.00014525952953299193,-0.23249194972415888,1.234075593290347,3.9968028886505635e-15,5.773159728050814e-15,9.432993887505554e-05,0.6085132757822672
8,4.0,100,3,0.00017839583324704585,0.00022778593238018824,-1.2556843899137564,2.2137393609876352,7.364479396680205e-15,1.0436096431476471e-14,9.432993887505554e-05,0.6085132757822672
8,4.0,200,3,0.00015809869255016253,0.00018462356601020273,-5.6598253319006595,6.968041757697616,1.3137639124731019e-14,1.865174681370263e-14,9.432993887505554e-05,0.6085132757822672
8,6.0,1,3,7.38782957914146e-08,6.280906158040591e-08,0.9993324733281264,0.0004659493120764988,4.440892098500626e-16,4.440892098500626e-16,0.00015741059264867696,0.5726941426595052
8,6.0,10,3,3.0931940618703236e-06,1.008051838969637e-06,0.9668662493999264,0.01128807006982703,3.32443060891313e-05,9.973291826572857e-05,0.00015741059264867696,0.5726941426595052
8,6.0,50,3,2.5757450149825395e-05,1.073926299332365e-05,0.6553288443445063,0.21301486130755612,3.3306690738754696e-15,4.218847493575595e-15,0.00015741059264867696,0.5726941426595052
8,6.0,100,3,3.502065035686567e-05,1.2053224677069402e-05,0.40404370820271557,0.2898819519920373,5.551115123125783e-15,7.327471962526033e-15,0.00015741059264867696,0.5726941426595052
8,6.0,200,3,4.5133861969212434e-05,1.7623455862810893e-05,-0.275185197669256,0.7286670535381573,1.0066022089934753e-14,1.3433698597964394e-14,0.00015741059264867696,0.5726941426595052
8,8.0,1,3,5.03373046979912e-08,7.874108516471596e-09,0.9996533790966059,0.00011009904198545196,5.181040781584064e-16,6.661338147750939e-16,0.00028658630219863235,0.573973814646403
