n_clusters,omega,seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,train_closure_error,train_association_r2,fit_seconds
8,2.0,0,1,400,4.7592921491019064e-05,0.94094224417544,4.440892098500626e-16,0.00020664687535496118,0.9983006540562868,0.6875970363616943
8,2.0,0,10,391,0.0005699688667165051,0.3057476751759134,6.661338147750939e-16,0.00020664687535496118,0.9983006540562868,0.6875970363616943
8,2.0,0,50,351,0.0028751796739850846,-2.194169845024607,1.7763568394002505e-15,0.00020664687535496118,0.9983006540562868,0.6875970363616943
8,2.0,0,100,301,0.004158171574682074,-3.719988337393227,2.220446049250313e-15,0.00020664687535496118,0.9983006540562868,0.6875970363616943
8,2.0,0,200,201,0.002778183493539635,-352.90636233989403,2.6645352591003757e-15,0.00020664687535496118,0.9983006540562868,0.6875970363616943
8,2.0,1,1,400,4.650898867043204e-09,0.9995207998015118,3.3306690738754696e-16,4.8904725506741846e-05,0.9973907901046472,0.5828673839569092
8,2.0,1,10,391,4.4325590460392224e-07,0.9513783627010319,1.2212453270876722e-15,4.8904725506741846e-05,0.9973907901046472,0.5828673839569092
8,2.0,1,50,351,6.56646228967945e-06,0.1920898314916607,4.6629367034256575e-15,4.8904725506741846e-05,0.9973907901046472,0.5828673839569092
8,2.0,1,100,301,1.1141627691375607e-05,-0.7979994928718714,8.770761894538737e-15,4.8904725506741846e-05,0.9973907901046472,0.5828673839569092
8,2.0,1,200,201,2.298721702484429e-05,-4.574408597860438,1.7430501486614958e-14,4.8904725506741846e-05,0.9973907901046472,0.5828673839569092
8,2.0,2,1,400,7.240520526347131e-09,0.9995935906520163,4.440892098500626e-16,7.155907000144102e-05,0.9987197225989832,0.7256710529327393
8,2.0,2,10,391,6.414824274630729e-07,0.9606688972957396,8.881784197001252e-16,7.155907000144102e-05,0.9987197225989832,0.7256710529327393
8,2.0,2,50,351,6.572780089488865e-06,0.5257180474445087,3.3306690738754696e-15,7.155907000144102e-05,0.9987197225989832,0.7256710529327393
8,2.0,2,100,301,1.0377765510475056e-05,-0.05504237113596422,5.995204332975845e-15,7.155907000144102e-05,0.9987197225989832,0.7256710529327393
8,2.0,2,200,201,1.7023564303223594e-05,-1.7650452051817132,1.0880185641326534e-14,7.155907000144102e-05,0.9987197225989832,0.7256710529327393
8,4.0,0,1,400,3.0280532943296462e-06,0.9731645297537668,4.440892098500626e-16,0.0001187056638372497,0.9994569005445034,0.6597230434417725
8,4.0,0,10,391,4.6296599892072674e-05,0.5823648641433374,1.3322676295501878e-15,0.0001187056638372497,0.9994569005445034,0.6597230434417725
8,4.0,0,50,351,0.00032012411261901673,-1.9580345632477063,4.6629367034256575e-15,0.0001187056638372497,0.9994569005445034,0.6597230434417725
8,4.0,0,100,301,0.0005003552766505971,-4.338243946015194,8.992806499463768e-15,0.0001187056638372497,0.9994569005445034,0.6597230434417725
8,4.0,0,200,201,0.0004182613546150431,-15.386054628591925,1.6653345369377348e-14,0.0001187056638372497,0.9994569005445034,0.6597230434417725
8,4.0,1,1,400,1.4472733123658175e-08,0.999585366309406,4.440892098500626e-16,5.350791222058562e-05,0.9991214469480891,0.5547528266906738
8,4.0,1,10,391,1.3289266609916088e-06,0.9595860200993774,1.5543122344752192e-15,5.350791222058562e-05,0.9991214469480891,0.5547528266906738
8,4.0,1,50,351,1.748516745183965e-05,0.40380447627127525,5.773159728050814e-15,5.350791222058562e-05,0.9991214469480891,0.5547528266906738
8,4.0,1,100,301,2.6702342638889967e-05,-0.18804252725273574,1.0436096431476471e-14,5.350791222058562e-05,0.9991214469480891,0.5547528266906738
8,4.0,1,200,201,4.7131064454923834e-05,-2.1681175001725204,1.865174681370263e-14,5.350791222058562e-05,0.9991214469480891,0.5547528266906738
8,4.0,2,1,400,1.213501535400066e-08,0.9998006178948801,4.440892098500626e-16,0.00011077624056733127,0.9992360551950366,0.6110639572143555
8,4.0,2,10,391,9.407012403734872e-07,0.983170752710991,7.771561172376096e-16,0.00011077624056733127,0.9992360551950366,0.6110639572143555
8,4.0,2,50,351,6.75915015147163e-06,0.8567542378039544,1.5543122344752192e-15,0.00011077624056733127,0.9992360551950366,0.6110639572143555
8,4.0,2,100,301,8.129880451650414e-06,0.7592333035266603,2.6645352591003757e-15,0.00011077624056733127,0.9992360551950366,0.6110639572143555
8,4.0,2,200,201,8.903658580520642e-06,0.5746961330624665,4.107825191113079e-15,0.00011077624056733127,0.9992360551950366,0.6110639572143555
8,6.0,0,1,400,1.6262461176023908e-07,0.9986886992005591,4.440892098500626e-16,0.0001921874733567964,0.9993302465582581,0.5741481781005859
8,6.0,0,10,391,4.3873600248385655e-06,0.9632477101754192,9.973291826572857e-05,0.0001921874733567964,0.9993302465582581,0.5741481781005859
8,6.0,0,50,351,2.839598985871311e-05,0.7269224334210707,4.107825191113079e-15,0.0001921874733567964,0.9993302465582581,0.5741481781005859
8,6.0,0,100,301,4.2645669628957585e-05,0.46713855155056117,7.327471962526033e-15,0.0001921874733567964,0.9993302465582581,0.5741481781005859
8,6.0,0,200,201,4.018917072289579e-05,0.1339690101186879,1.3433698597964394e-14,0.0001921874733567964,0.9993302465582581,0.5741481781005859
8,6.0,1,1,400,3.275103928240329e-08,0.9995325847923707,4.440892098500626e-16,6.128203423815288e-05,0.9994596457745013,0.5842230319976807
8,6.0,1,10,391,2.963898305311618e-06,0.9552103632662364,5.551115123125783e-16,6.128203423815288e-05,0.9994596457745013,0.5842230319976807
8,6.0,1,50,351,3.739102691738411e-05,0.3661178331387923,1.6653345369377348e-15,6.128203423815288e-05,0.9994596457745013,0.5842230319976807
8,6.0,1,100,301,4.4410968012693315e-05,0.021694918667642837,2.4424906541753444e-15,6.128203423815288e-05,0.9994596457745013,0.5842230319976807
8,6.0,1,200,201,6.876139173672684e-05,-1.298833811295458,4.107825191113079e-15,6.128203423815288e-05,0.9994596457745013,0.5842230319976807
8,6.0,2,1,400,2.6259236331601434e-08,0.9997761359914492,4.440892098500626e-16,0.0002187622703510816,0.9990360239105357,0.559711217880249
8,6.0,2,10,391,1.9283238554607873e-06,0.9821406747581234,1.1102230246251565e-15,0.0002187622703510816,0.9990360239105357,0.559711217880249
8,6.0,2,50,351,1.1485333673378972e-05,0.872946266473656,4.218847493575595e-15,0.0002187622703510816,0.9990360239105357,0.559711217880249
8,6.0,2,100,301,1.8005313428946115e-05,0.7232976543899428,6.8833827526759706e-15,0.0002187622703510816,0.9990360239105357,0.559711217880249
8,6.0,2,200,201,2.6451023448014663e-05,0.33930920816900223,1.2656542480726785e-14,0.0002187622703510816,0.9990360239105357,0.559711217880249
8,8.0,0,1,400,5.753163712985605e-08,0.9996752423640154,6.661338147750939e-16,0.0003568859752366676,0.9989495039895117,0.5651977062225342
8,8.0,0,10,391,4.237140781901931e-06,0.9752600220491274,3.949748720940233e-05,0.0003568859752366676,0.9989495039895117,0.5651977062225342
8,8.0,0,50,351,2.240046716534692e-05,0.8467888081207233,8.881784197001252e-15,0.0003568859752366676,0.9989495039895117,0.5651977062225342
8,8.0,0,100,301,2.422229640817486e-05,0.7857491727488675,1.709743457922741e-14,0.0003568859752366676,0.9989495039895117,0.5651977062225342
8,8.0,0,200,201,2.2388767585710362e-05,0.6633004324826286,3.175237850427948e-14,0.0003568859752366676,0.9989495039895117,0.5651977062225342
8,8.0,1,1,400,5.410108699693231e-08,0.9995089401720035,4.440892098500626e-16,8.686762531669131e-05,0.999482143374252,0.5541586875915527
8,8.0,1,10,391,4.973314410068285e-06,0.9523025580264887,1.6653345369377348e-15,8.686762531669131e-05,0.999482143374252,0.5541586875915527
8,8.0,1,50,351,5.389020699864942e-05,0.4197350007883448,6.328271240363392e-15,8.686762531669131e-05,0.999482143374252,0.5541586875915527
8,8.0,1,100,301,5.221961572098776e-05,0.2717913192361723,1.1435297153639112e-14,8.686762531669131e-05,0.999482143374252,0.5541586875915527
8,8.0,1,200,201,7.861829864294247e-05,-0.6701161306317711,2.2870594307278225e-14,8.686762531669131e-05,0.999482143374252,0.5541586875915527
8,8.0,2,1,400,3.9379189967185235e-08,0.9997759547537987,4.440892098500626e-16,0.0004160053060425381,0.9985862319987108,0.6025650501251221
8,8.0,2,10,391,2.9530926009864118e-06,0.9817856662638632,8.881784197001252e-16,0.0004160053060425381,0.9985862319987108,0.6025650501251221
8,8.0,2,50,351,1.969399785037366e-05,0.8535654756947492,0.0002783252040891454,0.0004160053060425381,0.9985862319987108,0.6025650501251221
8,8.0,2,100,301,2.9457548056932227e-05,0.6973090196407987,0.00015209802134123502,0.0004160053060425381,0.9985862319987108,0.6025650501251221
8,8.0,2,200,201,3.532320269305166e-05,0.40565039873737396,1.4831534942037154e-05,0.0004160053060425381,0.9985862319987108,0.6025650501251221
8,10.0,0,1,400,1.0161993473721686e-07,0.999550532138368,9.928352456438517e-07,0.0005775855958236759,0.9984825253839817,0.5687041282653809
8,10.0,0,10,391,8.020667197496181e-06,0.9634568940093812,9.72571618750592e-06,0.0005775855958236759,0.9984825253839817,0.5687041282653809
8,10.0,0,50,351,4.510894880491346e-05,0.7556275833884661,3.7766907596611585e-05,0.0005775855958236759,0.9984825253839817,0.5687041282653809
8,10.0,0,100,301,4.0931147212093174e-05,0.7153467667707949,1.6583773630822844e-06,0.0005775855958236759,0.9984825253839817,0.5687041282653809
8,10.0,0,200,201,4.149743993595785e-05,0.5055474856226982,1.9984014443252818e-14,0.0005775855958236759,0.9984825253839817,0.5687041282653809
8,10.0,1,1,400,7.060156281661509e-08,0.9995303100040334,4.440892098500626e-16,0.00014732361069650675,0.9993274020825745,0.5600278377532959
8,10.0,1,10,391,6.631382891880898e-06,0.9534745519185801,1.7763568394002505e-15,0.00014732361069650675,0.9993274020825745,0.5600278377532959
8,10.0,1,50,351,6.72163847063675e-05,0.4700419295511655,7.549516567451064e-15,0.00014732361069650675,0.9993274020825745,0.5600278377532959
8,10.0,1,100,301,6.60030904309276e-05,0.32791217366020986,1.4432899320127035e-14,0.00014732361069650675,0.9993274020825745,0.5600278377532959
8,10.0,1,200,201,0.00011583795218778052,-0.802797521946107,2.708944180085382e-14,0.00014732361069650675,0.9993274020825745,0.5600278377532959
8,10.0,2,1,400,5.1649932429502595e-08,0.999772163905974,4.440892098500626e-16,0.0006631448215617087,0.9980929236655023,0.5571222305297852
8,10.0,2,10,391,3.953086383565534e-06,0.9811374265972471,0.00015244838500675165,0.0006631448215617087,0.9980929236655023,0.5571222305297852
8,10.0,2,50,351,3.0119975820019506e-05,0.8250771665454766,0.0005699268889785326,0.0006631448215617087,0.9980929236655023,0.5571222305297852
8,10.0,2,100,301,4.1029030322495474e-05,0.6722974571514181,0.00041297910872176234,0.0006631448215617087,0.9980929236655023,0.5571222305297852
8,10.0,2,200,201,3.9088132078198045e-05,0.484902922323472,0.00036413306576329964,0.0006631448215617087,0.9980929236655023,0.5571222305297852
8,12.0,0,1,400,1.7494110766044095e-07,0.9993456483790553,3.254283432419722e-07,0.0008190116964295666,0.9980122901992803,0.6556398868560791
8,12.0,0,10,391,1.3505620134045256e-05,0.9481138110462478,3.715792910519871e-05,0.0008190116964295666,0.9980122901992803,0.6556398868560791
8,12.0,0,50,351,7.890921604418584e-05,0.6347633924763276,7.159606596833038e-05,0.0008190116964295666,0.9980122901992803,0.6556398868560791
8,12.0,0,100,301,6.875667808484144e-05,0.5932760858878019,4.318216329443435e-05,0.0008190116964295666,0.9980122901992803,0.6556398868560791
8,12.0,0,200,201,7.187993651314463e-05,0.2677163833808528,2.972031618096919e-05,0.0008190116964295666,0.9980122901992803,0.6556398868560791
8,12.0,1,1,400,8.397703171204282e-08,0.9995488706304824,4.440892098500626e-16,0.0002451418347758117,0.9990746567908071,0.5894091129302979
8,12.0,1,10,391,7.845894101168129e-06,0.9556314295207864,1.1102230246251565e-15,0.0002451418347758117,0.9990746567908071,0.5894091129302979
8,12.0,1,50,351,7.948955506071778e-05,0.4942563481262192,3.552713678800501e-15,0.0002451418347758117,0.9990746567908071,0.5894091129302979
8,12.0,1,100,301,8.304846735949316e-05,0.319279575215644,6.439293542825908e-15,0.0002451418347758117,0.9990746567908071,0.5894091129302979
8,12.0,1,200,201,0.00015764111636993266,-0.9810055576255019,1.199040866595169e-14,0.0002451418347758117,0.9990746567908071,0.5894091129302979
8,12.0,2,1,400,6.43505912901131e-08,0.9997561786525148,4.440892098500626e-16,0.0009250540080719604,0.9976234860073866,0.5665409564971924
8,12.0,2,10,391,5.004572609400741e-06,0.9795368336195311,0.0001529272295788623,0.0009250540080719604,0.9976234860073866,0.5665409564971924
8,12.0,2,50,351,4.258764279238957e-05,0.7860162986424387,0.0005221634754277672,0.0009250540080719604,0.9976234860073866,0.5665409564971924
8,12.0,2,100,301,5.585055629677532e-05,0.6157603158648498,0.0003673514864775391,0.0009250540080719604,0.9976234860073866,0.5665409564971924
8,12.0,2,200,201,4.705405150382601e-05,0.46177533019770245,0.00035721541471940365,0.0009250540080719604,0.9976234860073866,0.5665409564971924
8,16.0,0,1,400,3.536202483725536e-07,0.9989149182774899,1.1163012483569559e-05,0.0012769876150594904,0.9971912396818314,0.5739681720733643
8,16.0,0,10,391,2.647567736259064e-05,0.9167359835699656,6.415097089424346e-05,0.0012769876150594904,0.9971912396818314,0.5739681720733643
8,16.0,0,50,351,0.00016327479121777547,0.36835803796389677,5.5633595228315666e-05,0.0012769876150594904,0.9971912396818314,0.5739681720733643
8,16.0,0,100,301,0.00014756132623620758,0.2715432037191611,5.194623755609316e-05,0.0012769876150594904,0.9971912396818314,0.5739681720733643
8,16.0,0,200,201,0.00014800098022929353,-0.2617344215588122,3.540056976758419e-05,0.0012769876150594904,0.9971912396818314,0.5739681720733643
8,16.0,1,1,400,9.260866569118252e-08,0.9996036422389282,4.440892098500626e-16,0.0005181542404212448,0.9984669390078763,0.5557270050048828
8,16.0,1,10,391,8.443833693615627e-06,0.9620941720986009,8.881784197001252e-16,0.0005181542404212448,0.9984669390078763,0.5557270050048828
8,16.0,1,50,351,8.829681309437774e-05,0.5526792708841013,2.4424906541753444e-15,0.0005181542404212448,0.9984669390078763,0.5557270050048828
8,16.0,1,100,301,0.00010412561683347371,0.3232986286825371,3.552713678800501e-15,0.0005181542404212448,0.9984669390078763,0.5557270050048828
8,16.0,1,200,201,0.00020608367678485597,-1.0653625438903438,6.217248937900877e-15,0.0005181542404212448,0.9984669390078763,0.5557270050048828
8,16.0,2,1,400,9.017877444555927e-08,0.9996901246961387,5.806328285783423e-06,0.0014086602496843467,0.9968326429203372,0.55544114112854
8,16.0,2,10,391,7.272887302783533e-06,0.9731704397028873,7.782917657937489e-05,0.0014086602496843467,0.9968326429203372,0.55544114112854
8,16.0,2,50,351,7.457660029401079e-05,0.6555677076307851,0.00028677863137513643,0.0014086602496843467,0.9968326429203372,0.55544114112854
8,16.0,2,100,301,9.786118430472616e-05,0.3857776023964796,0.00020258683604148855,0.0014086602496843467,0.9968326429203372,0.55544114112854
8,16.0,2,200,201,7.110351147089697e-05,0.2462893520862247,0.0001905400165346072,0.0014086602496843467,0.9968326429203372,0.55544114112854
8,20.0,0,1,400,5.218573493169376e-07,0.9985263018140272,1.0474740800740943e-05,0.0016591498176900747,0.9965456492760806,0.566615104675293
8,20.0,0,10,391,3.884736657077427e-05,0.8874316306821735,6.484449293262331e-05,0.0016591498176900747,0.9965456492760806,0.566615104675293
8,20.0,0,50,351,0.0002520712422193253,0.08796815938145097,4.3246232793147876e-05,0.0016591498176900747,0.9965456492760806,0.566615104675293
8,20.0,0,100,301,0.00024015247891392193,-0.11284669257562108,2.0414731814171556e-05,0.0016591498176900747,0.9965456492760806,0.566615104675293
8,20.0,0,200,201,0.0002245578183959431,-0.7913841055318698,1.2967342716810289e-05,0.0016591498176900747,0.9965456492760806,0.566615104675293
8,20.0,1,1,400,8.473874553064023e-08,0.999653224672857,4.440892098500626e-16,0.0008384103640545267,0.9978414041886479,0.5529961585998535
8,20.0,1,10,391,7.557753820652121e-06,0.9676732591564707,1.5543122344752192e-15,0.0008384103640545267,0.9978414041886479,0.5529961585998535
8,20.0,1,50,351,8.229178150720245e-05,0.6012898894631767,6.106226635438361e-15,0.0008384103640545267,0.9978414041886479,0.5529961585998535
8,20.0,1,100,301,0.00010598284475364554,0.34334594483866177,1.0769163338864018e-14,0.0008384103640545267,0.9978414041886479,0.5529961585998535
8,20.0,1,200,201,0.00019481432577476745,-0.8711879037889774,2.0539125955565396e-14,0.0008384103640545267,0.9978414041886479,0.5529961585998535
8,20.0,2,1,400,1.209609825187792e-07,0.9995498276092171,2.8528946361355175e-06,0.0017905557771838987,0.9962366245433286,0.575634241104126
