horizon,n_clusters,omega,relative_association_error_mean,relative_association_error_std,association_r2_mean,association_r2_std,n_runs
1,10,2.0,9.417427603848754e-09,3.007958236780279e-09,0.999386242919085,0.00012602672850103673,3
10,10,2.0,8.524184507651042e-07,2.529331271480788e-07,0.9408266983180761,0.010919905056676251,3
50,10,2.0,1.0162209322567245e-05,1.6389738619433101e-06,0.15916201350907588,0.18617091195993746,3
100,10,2.0,1.7644619370200397e-05,4.569372498643419e-06,-0.8826989424542114,0.28932945927814074,3
200,10,2.0,3.0715397410345436e-05,4.113917414124821e-06,-4.3458871990804155,0.6206435053488563,3
