estimator,estimator_label,test_E1_mean,test_E1_std,test_R2_mean,test_R2_std,E200_mean,E200_std,test_E1_table_cell,test_R2_table_cell,E200_table_cell
nlms,NLMS,5.7377251368311628e-06,8.6888878399519536e-06,0.99423552582075914,0.0083069949102400481,0.00054367224628266476,0.00032511350143611309,$5.7\times10^{-6}$,0.9942,$5.44\times10^{-4}$
ols,OLS,6.6868695365811721e-06,8.3870032917583788e-06,0.99304941895609877,0.0077911986308007086,0.00080532340303323335,0.00038043407366680136,$6.7\times10^{-6}$,0.9930,$8.05\times10^{-4}$
ridge_0.0001,Ridge 10^{-4},6.6837366456126292e-06,8.3847788355591419e-06,0.9930526367986322,0.0077892892804528185,0.00073680549611443381,0.00031828674790906496,$6.7\times10^{-6}$,0.9931,$7.37\times10^{-4}$
ridge_0.01,Ridge 10^{-2},1.6216205811915198e-05,1.2111411679018774e-05,0.98203350745893447,0.010005333731428936,0.0063230291447053414,0.00097547659927856793,$1.6\times10^{-5}$,0.9820,$6.32\times10^{-3}$
row_stochastic_nlms,Row-stochastic NLMS,3.0121072608174727e-05,1.6224010790128948e-05,0.96412879619020819,0.017929285335033542,0.19476976396352794,0.10148905902700844,$3.0\times10^{-5}$,0.9641,$1.95\times10^{-1}$
