system,train_count,train_seeds_used,n_train_snapshots,n_clusters,omega,tau,train_closure_error,train_association_r2,fit_seconds
duffing,1,0,1200,15,12.0,1e-06,0.0001453304288316065,0.9990862174188512,0.6829259395599365
duffing,2,0 1,2400,15,12.0,1e-06,0.00010706234156829383,0.9993453707885566,1.2377750873565674
duffing,3,0 1 2,3600,15,12.0,1e-06,9.35878810493574e-05,0.9994190621453526,1.988483190536499
duffing,5,0 1 2 3 4,6000,15,12.0,1e-06,3.720927626155717e-05,0.9997420372932189,3.81748104095459
vanderpol,1,0,1200,20,4.0,1e-06,0.0018778350818338364,0.9977227736033206,0.5473892688751221
vanderpol,2,0 1,2400,20,4.0,1e-06,0.001608257256164905,0.9980434902222604,1.230409860610962
vanderpol,3,0 1 2,3600,20,4.0,1e-06,0.0014846414816175617,0.9981990193081177,2.0698659420013428
vanderpol,5,0 1 2 3 4,6000,20,4.0,1e-06,0.0017757265520791322,0.9978380996453206,3.811267137527466
