abstraction,split,closure_error,association_r2,simplex_violation,spectral_radius,fro_norm,min_entry,max_entry,row_sum_min,row_sum_max,seed
kahkm_folding_nlms,train,0.0018778350818338366,0.9977227736033206,0.02334663867366189,1.000000000000001,4.423768953973296,-0.08098091114760253,1.0168956048559843,0.9999999999999974,1.0000000000000029,0
kahkm_folding_nlms,test,0.0017910268988048168,0.9977712695316271,0.020826889026260963,1.000000000000001,4.423768953973296,-0.08098091114760253,1.0168956048559843,0.9999999999999974,1.0000000000000029,0
kmeans_hard_nlms,train,0.11548387472228275,0.8770381672638006,2.220446049250313e-16,0.9999999999999982,3.97943387511292,0.0,0.9945561280389678,0.9999999999999999,1.0000000000000002,0
kmeans_hard_nlms,test,0.11386643871048867,0.877327186705104,2.220446049250313e-16,0.9999999999999982,3.97943387511292,0.0,0.9945561280389678,0.9999999999999999,1.0000000000000002,0
kmeans_distance_nlms,train,0.09988124743685498,0.8929721263482648,0.008463738205391204,0.9999999999999978,3.97542819581988,-0.008463738205391204,0.9965441759839726,0.9999999999999997,1.0000000000000002,0
kmeans_distance_nlms,test,0.09292832165601589,0.8991347905766632,0.008463738205391204,0.9999999999999978,3.97542819581988,-0.008463738205391204,0.9965441759839726,0.9999999999999997,1.0000000000000002,0
kmeans_rbf_nlms,train,0.032922926068397314,0.9646190570627231,0.021832340885799096,1.0000000000000009,4.210165886253204,-0.02183254298103336,0.983512675643208,0.9999999999999991,1.0000000000000004,0
kmeans_rbf_nlms,test,0.030268515519672932,0.9670221693534138,0.02183222552587922,1.0000000000000009,4.210165886253204,-0.02183254298103336,0.983512675643208,0.9999999999999991,1.0000000000000004,0
kahkm_folding_nlms,train,0.0017329172905895364,0.9978926246153298,0.02006206586584427,0.9999999999999981,4.423779558646126,-0.08477013981362366,1.0034254062606134,0.9999999999999962,1.0000000000000036,1
kahkm_folding_nlms,test,0.0014896559613020667,0.9981221637968385,0.019124350830139736,0.9999999999999981,4.423779558646126,-0.08477013981362366,1.0034254062606134,0.9999999999999962,1.0000000000000036,1
kmeans_hard_nlms,train,0.11814966425559163,0.8743604750648729,2.220446049250313e-16,0.9999999999999996,3.972531341534013,0.0,0.9752585576199965,0.9999999999999999,1.0000000000000002,1
kmeans_hard_nlms,test,0.1086058483671633,0.8826453634802924,2.220446049250313e-16,0.9999999999999996,3.972531341534013,0.0,0.9752585576199965,0.9999999999999999,1.0000000000000002,1
kmeans_distance_nlms,train,0.09199738550788876,0.9015039988456566,0.013641007890554469,1.000000000000001,4.002820124528578,-0.013641007890554469,0.9896733380423741,0.9999999999999998,1.0000000000000002,1
kmeans_distance_nlms,test,0.08628669633062327,0.9062767479202787,0.013641007890554469,1.000000000000001,4.002820124528578,-0.013641007890554469,0.9896733380423741,0.9999999999999998,1.0000000000000002,1
kmeans_rbf_nlms,train,0.03338465897227348,0.9641470792527388,0.027872663942058912,1.0000000000000004,4.212898567238447,-0.027875630497872124,0.9996226126347195,0.9999999999999998,1.0000000000000004,1
kmeans_rbf_nlms,test,0.030707926607235068,0.9664432546231436,0.02786945856539099,1.0000000000000004,4.212898567238447,-0.027875630497872124,0.9996226126347195,0.9999999999999998,1.0000000000000004,1
kahkm_folding_nlms,train,0.0026614042466218783,0.9967678102955714,0.019650093440798735,1.0000000000000002,4.416811400429057,-0.0861962497775887,1.0125712419747772,0.9999999999999969,1.0000000000000024,2
kahkm_folding_nlms,test,0.0023862199668524147,0.9970469417875345,0.018751673699561055,1.0000000000000002,4.416811400429057,-0.0861962497775887,1.0125712419747772,0.9999999999999969,1.0000000000000024,2
kmeans_hard_nlms,train,0.1153272596209464,0.8769049284693374,2.220446049250313e-16,1.0000000000000053,3.9746051102077673,0.0,0.9919937798377298,0.9999999999999999,1.0000000000000002,2
kmeans_hard_nlms,test,0.11389903456363762,0.8775427332030936,2.220446049250313e-16,1.0000000000000053,3.9746051102077673,0.0,0.9919937798377298,0.9999999999999999,1.0000000000000002,2
kmeans_distance_nlms,train,0.09800000850026562,0.8947930999227977,0.00693150288066905,0.9999999999999997,3.966037116417418,-0.00693150288066905,0.9969759513002059,0.9999999999999996,1.0000000000000004,2
kmeans_distance_nlms,test,0.09719909355221677,0.8948668400634128,0.00693150288066905,0.9999999999999997,3.966037116417418,-0.00693150288066905,0.9969759513002059,0.9999999999999996,1.0000000000000004,2
kmeans_rbf_nlms,train,0.031959103091912265,0.9655730244676008,0.024243339087401953,1.0000000000000009,4.210846853755241,-0.024247241123422667,0.991579920072587,0.9999999999999996,1.0000000000000007,2
kmeans_rbf_nlms,test,0.029210282617340547,0.9682568749726214,0.02424012964735878,1.0000000000000009,4.210846853755241,-0.024247241123422667,0.991579920072587,0.9999999999999996,1.0000000000000007,2
