abstraction,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
kahkm_folding_nlms,1,3,0.0018889676089864325,0.0004562357296894672,0.0014896559613020667,0.0023862199668524147,0.9976467917053334,0.0005483125379307279,0.019567637851987254,0.020826889026260963
kahkm_folding_nlms,2,3,0.004162223321738964,0.0008380060405491777,0.0033224254688234978,0.004998425981876615,0.994817253420333,0.000998355831800116,0.03746432480793168,0.04025311434310007
kahkm_folding_nlms,5,3,0.009217609329857844,0.0016159797601853982,0.007406065476152164,0.01051083736377926,0.9885422658173942,0.0019116079799445674,0.07063358429906252,0.07664777897637426
kahkm_folding_nlms,10,3,0.015247138511131556,0.002335141685010019,0.012552809671052932,0.01668557595682395,0.9811030100114331,0.00274387334818048,0.07322916571613178,0.08137523684723161
kahkm_folding_nlms,20,3,0.026040042912888636,0.002227980745292658,0.023484641480737454,0.027575310788778125,0.9679147687868245,0.002495245264606128,0.07492891695733267,0.08158317049732934
kahkm_folding_nlms,50,3,0.08355032125554991,0.0033059742518589423,0.07998471132764517,0.08651392473553907,0.898658697778405,0.004033580808847023,0.09396173519537271,0.09674787530650218
kahkm_folding_nlms,100,3,0.1639143685851994,0.010935486226646507,0.15133189616600054,0.1711253329493371,0.7970456967766338,0.013611660555944163,0.08418919805827878,0.10270194081867572
kahkm_folding_nlms,200,3,0.17955130008636258,0.03211640809555722,0.1599975444005398,0.2166174001221973,0.7578503407530771,0.041686400718194704,0.05753871753000417,0.07265307509337461
kmeans_distance_nlms,1,3,0.09213803717961865,0.005498955850494367,0.08628669633062327,0.09719909355221677,0.9000927928534516,0.005764965359591618,0.009678749658871574,0.013641007890554469
kmeans_distance_nlms,2,3,0.19463980704541306,0.010595701374530761,0.18270977937890917,0.20295529264526246,0.7889862904797257,0.011152917015320578,0.017045487806859886,0.02339282846692161
kmeans_distance_nlms,5,3,0.4429015031105415,0.023643698262528153,0.41581927622144366,0.4594324673164238,0.5202183068893487,0.025061181974210263,0.035611716422317884,0.05098213055545772
kmeans_distance_nlms,10,3,0.6340572316964987,0.022949333661539634,0.608559549737583,0.6530569187427032,0.31441493228737655,0.023792409024870197,0.052757913667658175,0.0801775309913198
kmeans_distance_nlms,20,3,0.7720305946897495,0.014769930528351528,0.7560232032990242,0.785130702207211,0.167765698009778,0.01422505312659585,0.05996437943612722,0.09523233178532918
kmeans_distance_nlms,50,3,0.9814643157888504,0.07502237567414502,0.8953542412673172,1.03271375060005,-0.05096779209685905,0.08020484444201363,0.01765115214078808,0.03218347318716591
kmeans_distance_nlms,100,3,1.03989475265881,0.07587940319617793,0.9524863654718909,1.0888443458027683,-0.12247381877671944,0.08384404838303994,0.00034041363237783464,0.0010212408971208473
kmeans_distance_nlms,200,3,1.067187639872471,0.11428453497764575,0.9382806809909904,1.1560992856182097,-0.18869544444861663,0.12981318240826198,1.002901465578058e-14,1.5210055437364645e-14
kmeans_hard_nlms,1,3,0.11212377388042986,0.0030466564558675573,0.1086058483671633,0.11389903456363762,0.8791717611294967,0.0030101578101138786,2.220446049250313e-16,2.220446049250313e-16
kmeans_hard_nlms,2,3,0.21499098319515741,0.006152683457137349,0.20788662557513699,0.21858304720135424,0.7683626753588686,0.006140395679615117,3.7007434154171886e-16,4.440892098500626e-16
kmeans_hard_nlms,5,3,0.43384980587309707,0.012937937120860298,0.41904478834071096,0.44298402155520866,0.5328489895270351,0.01303376854367717,6.661338147750939e-16,8.881784197001252e-16
kmeans_hard_nlms,10,3,0.5860491470672368,0.011911335987372687,0.5733948328190962,0.5970433346375393,0.3700184217122439,0.011465747319162976,1.1842378929335002e-15,1.5543122344752192e-15
kmeans_hard_nlms,20,3,0.740697591260688,0.012451871425802018,0.7264844680376644,0.7496854949968716,0.20601951712961505,0.011212069176005163,1.9984014443252818e-15,2.886579864025407e-15
kmeans_hard_nlms,50,3,0.9417765558971575,0.044244776317170796,0.8910349769650103,0.9723018925752557,-0.0027723328318748353,0.04627732068636352,4.070817756958907e-15,5.10702591327572e-15
kmeans_hard_nlms,100,3,1.0660541576131917,0.06614453204924674,0.9908237607692824,1.1150881853553862,-0.14352278105248253,0.0719910076411184,6.735353016059283e-15,7.549516567451064e-15
kmeans_hard_nlms,200,3,1.0924905991638607,0.07688396927847009,1.0132190304190711,1.1667408100600014,-0.21143274118561836,0.08554136561853451,9.695947748393033e-15,1.176836406102666e-14
kmeans_rbf_nlms,1,3,0.030062241581416183,0.0007698351013819512,0.029210282617340547,0.03070792660723507,0.9672407663163929,0.0009263601714115937,0.024647271246209662,0.02786945856539099
kmeans_rbf_nlms,2,3,0.09223055273252985,0.0013105415147461445,0.09084773738937048,0.09345429991693513,0.8995288155651618,0.0015914236281813832,0.04503656509873655,0.05058726626766242
kmeans_rbf_nlms,5,3,0.27154948832245435,0.002127441391881279,0.26995839322267545,0.2739659365983244,0.704492186355346,0.0022280473201360283,0.08563721427405808,0.0926448139416384
kmeans_rbf_nlms,10,3,0.39982840264319613,0.005542792867983423,0.3949392231247861,0.40584993180710704,0.5656868094493567,0.0070488214456662845,0.11798026437740994,0.14363616027297108
kmeans_rbf_nlms,20,3,0.492687023974363,0.021570237784675983,0.47498005698846224,0.5167103014081561,0.4664802919776092,0.024983328161496593,0.13253906482236172,0.2196395569221492
kmeans_rbf_nlms,50,3,0.6290766645726097,0.015064239305140895,0.6142207199297196,0.6443408979551789,0.3240698715590846,0.016303218542903713,0.1103956386362872,0.20710603554228624
kmeans_rbf_nlms,100,3,0.7071214385712404,0.0229160762525109,0.693606601843668,0.7335805939645677,0.23335536837383675,0.025926385457013295,0.0833746243200048,0.18761302971438173
kmeans_rbf_nlms,200,3,0.8185851212170631,0.028609159238903205,0.7996849366910739,0.8514994684441427,0.07953845179600276,0.0307829355592914,0.062426177576819904,0.14622196229712042
