abstraction,split,n_runs,closure_error_mean,closure_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,spectral_radius_mean,spectral_radius_max
kahkm_folding_nlms,test,3,0.0018889676089864325,0.0004562357296894672,0.9976467917053334,0.0005483125379307279,0.019567637851987254,0.020826889026260963,0.9999999999999997,1.000000000000001
kahkm_folding_nlms,train,3,0.002090718873015084,0.0004995113995609376,0.9974610695047406,0.0006063568173061013,0.021019599326768296,0.02334663867366189,0.9999999999999997,1.000000000000001
kmeans_distance_nlms,test,3,0.09213803717961865,0.005498955850494367,0.9000927928534516,0.005764965359591618,0.009678749658871574,0.013641007890554469,0.9999999999999996,1.000000000000001
kmeans_distance_nlms,train,3,0.09662621381500312,0.0041175603950266895,0.8964230750389063,0.004493420327243775,0.009678749658871574,0.013641007890554469,0.9999999999999996,1.000000000000001
kmeans_hard_nlms,test,3,0.11212377388042986,0.0030466564558675573,0.8791717611294967,0.0030101578101138144,2.220446049250313e-16,2.220446049250313e-16,1.000000000000001,1.0000000000000053
kmeans_hard_nlms,train,3,0.11632026619960693,0.0015862392656601676,0.8761011902660036,0.0015089748847059014,2.220446049250313e-16,2.220446049250313e-16,1.000000000000001,1.0000000000000053
kmeans_rbf_nlms,test,3,0.030062241581416183,0.0007698351013819497,0.9672407663163929,0.0009263601714115937,0.024647271246209662,0.02786945856539099,1.0000000000000007,1.0000000000000009
kmeans_rbf_nlms,train,3,0.032755562710861025,0.0007273652879348014,0.964779720261021,0.000726422354014839,0.02464944797175332,0.027872663942058912,1.0000000000000007,1.0000000000000009
