method,horizon,metric_space,relative_error,association_r2,simplex_violation,task
kahkm_nlms,1,kahkm_association,0.005057275158715853,0.9702955399020389,1.1102230246251565e-15,MountainCar-v0
kahkm_nlms_simplex_project_each_step,1,kahkm_association,0.005057275158715853,0.9702955399020389,6.661338147750939e-16,MountainCar-v0
kmeans_hard_nlms,1,own_association,0.40882336409569137,0.574760130819016,2.220446049250313e-16,MountainCar-v0
kmeans_distance_nlms,1,own_association,0.18912348284182207,0.7559404760343403,0.021163299087253815,MountainCar-v0
kmeans_rbf_nlms,1,own_association,0.0009428148658579763,0.9955539531596208,9.992007221626409e-16,MountainCar-v0
state_dmd,1,kahkm_association_of_predicted_state,9.442185873664588e-05,0.9994454028607908,1.1102230246251565e-15,MountainCar-v0
state_edmd_poly2,1,kahkm_association_of_predicted_state,6.732914894271402e-05,0.9996045348620686,1.2212453270876722e-15,MountainCar-v0
state_edmd_poly3,1,kahkm_association_of_predicted_state,4.6568382681624886e-05,0.9997264754988051,1.2212453270876722e-15,MountainCar-v0
kahkm_nlms,5,kahkm_association,0.05119214631006711,0.7056960027148556,3.1086244689504383e-15,MountainCar-v0
kahkm_nlms_simplex_project_each_step,5,kahkm_association,0.051192146310067126,0.7056960027148556,7.771561172376096e-16,MountainCar-v0
kmeans_hard_nlms,5,own_association,0.7795268563564587,0.18966142216200266,7.771561172376096e-16,MountainCar-v0
kmeans_distance_nlms,5,own_association,0.45407046961156017,0.41658503681728787,0.041608287720660456,MountainCar-v0
kmeans_rbf_nlms,5,own_association,0.024818581098444988,0.8857630944644039,0.00028853303013506675,MountainCar-v0
state_dmd,5,kahkm_association_of_predicted_state,0.0013858317817704625,0.9920328436618092,1.1102230246251565e-15,MountainCar-v0
state_edmd_poly2,5,kahkm_association_of_predicted_state,0.0011126778367286662,0.9936032075495252,1.1102230246251565e-15,MountainCar-v0
state_edmd_poly3,5,kahkm_association_of_predicted_state,0.0007669849810094107,0.9955905981280502,9.992007221626409e-16,MountainCar-v0
kahkm_nlms,10,kahkm_association,0.1200623658652611,0.32792841796045535,0.002147501599984149,MountainCar-v0
kahkm_nlms_simplex_project_each_step,10,kahkm_association,0.12000316021176556,0.3282598326958195,6.661338147750939e-16,MountainCar-v0
kmeans_hard_nlms,10,own_association,0.8936774054066569,0.07131028584322285,8.881784197001252e-16,MountainCar-v0
kmeans_distance_nlms,10,own_association,0.6348282438959155,0.18748626441173133,0.04116462279783881,MountainCar-v0
kmeans_rbf_nlms,10,own_association,0.1028474370005348,0.5410908728486661,0.0007368339159998859,MountainCar-v0
state_dmd,10,kahkm_association_of_predicted_state,0.007776185730038582,0.956471343804058,9.992007221626409e-16,MountainCar-v0
state_edmd_poly2,10,kahkm_association_of_predicted_state,0.005805662433152923,0.9675017170608197,1.3322676295501878e-15,MountainCar-v0
state_edmd_poly3,10,kahkm_association_of_predicted_state,0.004106745611323287,0.977011722198333,9.992007221626409e-16,MountainCar-v0
kahkm_nlms,20,kahkm_association,0.25461828410484033,-0.35708747682825104,1.0103029524088925e-14,MountainCar-v0
kahkm_nlms_simplex_project_each_step,20,kahkm_association,0.2546182841048402,-0.3570874768282506,6.661338147750939e-16,MountainCar-v0
kmeans_hard_nlms,20,own_association,0.9577778832295641,0.006449092063727568,1.4432899320127035e-15,MountainCar-v0
kmeans_distance_nlms,20,own_association,0.7854626274837082,0.005458464867927115,0.02802647777897021,MountainCar-v0
kmeans_rbf_nlms,20,own_association,0.3966089180624769,-0.6620531375796883,0.0016703103194812983,MountainCar-v0
state_dmd,20,kahkm_association_of_predicted_state,0.023536885676037022,0.874550985579119,9.992007221626409e-16,MountainCar-v0
state_edmd_poly2,20,kahkm_association_of_predicted_state,0.031181929567220747,0.8338037416763371,1.1102230246251565e-15,MountainCar-v0
state_edmd_poly3,20,kahkm_association_of_predicted_state,0.01962160597137835,0.8954189961941159,8.881784197001252e-16,MountainCar-v0
kahkm_nlms,50,kahkm_association,0.4626287405940155,-1.3396171605375087,1.9317880628477724e-14,MountainCar-v0
kahkm_nlms_simplex_project_each_step,50,kahkm_association,0.462628740594014,-1.3396171605375011,6.661338147750939e-16,MountainCar-v0
kmeans_hard_nlms,50,own_association,1.0211789327471608,-0.052191529982496654,1.7763568394002505e-15,MountainCar-v0
kmeans_distance_nlms,50,own_association,0.8975170828543985,-0.12210349990788916,1.687538997430238e-14,MountainCar-v0
kmeans_rbf_nlms,50,own_association,2.3516052699975694,-7.467517205376296,0.017874457493297705,MountainCar-v0
state_dmd,50,kahkm_association_of_predicted_state,0.1352217851400316,0.3161531456391615,1.2212453270876722e-15,MountainCar-v0
state_edmd_poly2,50,kahkm_association_of_predicted_state,0.13204060100577494,0.33224110632612625,1.5543122344752192e-15,MountainCar-v0
state_edmd_poly3,50,kahkm_association_of_predicted_state,0.3032445290150636,-0.5335755037868801,2.4424906541753444e-15,MountainCar-v0
