task,method,metric_space,train_error,train_r2,test_error,test_r2,simplex_violation
MountainCar-v0,kahkm_nlms,own_association,0.0060507225426116775,0.9856806508134722,0.004100421847255342,0.9893145347530298,0.006876546829776924
MountainCar-v0,kmeans_hard_nlms,own_association,0.33794953878506717,0.6323936775294849,0.3213115191668122,0.6422569512203655,2.220446049250313e-16
MountainCar-v0,kmeans_distance_nlms,own_association,0.06883500450544093,0.9028902023363927,0.06426464536583627,0.9053957418688039,1.3322676295501878e-15
MountainCar-v0,kmeans_rbf_nlms,own_association,0.0008775095836722643,0.9953130305750657,0.0007596741889674371,0.9956538629738849,6.661338147750939e-16
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,nan,nan,1.3866112311838456e-05,0.9999638657029111,4.440892098500626e-16
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,nan,nan,1.0912520558544898e-05,0.999971562594404,4.440892098500626e-16
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,nan,nan,7.354317074062457e-06,0.999980835069552,4.440892098500626e-16
