abstraction,split,closure_error,association_r2,simplex_violation,spectral_radius,fro_norm,min_entry,max_entry,row_sum_min,row_sum_max,seed
kahkm_folding_nlms,train,0.0003073550638366199,0.9985599308333939,0.005378938432127298,0.9999999999999999,3.854010733225574,-0.03253446511973847,1.0016893287894122,0.999999999999997,1.0000000000000049,0
kahkm_folding_nlms,test,7.553990523704365e-07,0.9988380937857112,2.3275125109620167e-05,0.9999999999999999,3.854010733225574,-0.03253446511973847,1.0016893287894122,0.999999999999997,1.0000000000000049,0
kmeans_hard_nlms,train,0.06619895629263069,0.9225344995809978,1.1102230246251565e-16,1.0000000000000002,3.5141931086750273,0.0,0.9997284978538072,0.9999999999999999,1.0,0
kmeans_hard_nlms,test,0.014999259042417916,0.9476607741230765,0.0,1.0000000000000002,3.5141931086750273,0.0,0.9997284978538072,0.9999999999999999,1.0,0
kmeans_distance_nlms,train,0.04194049213200215,0.9498015634463288,0.01822499702570056,0.9999999999999998,3.5487624154009327,-0.01822499702570056,0.9994492905879598,0.9999999999999993,1.0000000000000007,0
kmeans_distance_nlms,test,0.0013326072946955156,0.9924830120421176,0.0010196962966656361,0.9999999999999998,3.5487624154009327,-0.01822499702570056,0.9994492905879598,0.9999999999999993,1.0000000000000007,0
kmeans_rbf_nlms,train,0.011960519621502633,0.9847068547878418,0.015098011066843742,0.9999999999999992,3.713721062192159,-0.03013249295921682,0.991061573186557,0.9999999999999987,1.0000000000000022,0
kmeans_rbf_nlms,test,6.315732425640923e-05,0.9923960296375468,0.0003004995342593955,0.9999999999999992,3.713721062192159,-0.03013249295921682,0.991061573186557,0.9999999999999987,1.0000000000000022,0
kahkm_folding_nlms,train,0.00023158514965118608,0.9988156460847881,0.005353018885793091,0.9999999999999994,3.8556048870711126,-0.031712483479968225,1.0013414593162517,0.9999999999999941,1.0000000000000056,1
kahkm_folding_nlms,test,6.870653233891931e-07,0.9992224817173452,4.4948241369699846e-05,0.9999999999999994,3.8556048870711126,-0.031712483479968225,1.0013414593162517,0.9999999999999941,1.0000000000000056,1
kmeans_hard_nlms,train,0.06891012002344538,0.9190055006776617,2.220446049250313e-16,0.9999999999999993,3.5023846234148177,0.0,0.9782142904205514,0.9999999999999999,1.0000000000000002,1
kmeans_hard_nlms,test,0.03371092423888073,0.9306518129943024,0.0,0.9999999999999993,3.5023846234148177,0.0,0.9782142904205514,0.9999999999999999,1.0000000000000002,1
kmeans_distance_nlms,train,0.0444941848656222,0.9466199591560639,0.0059614258447490045,1.0000000000000004,3.5446320978064443,-0.0059614258447490045,0.9977781925346669,0.9999999999999996,1.0000000000000004,1
kmeans_distance_nlms,test,0.003277672723386463,0.990384776773077,1.426158237779063e-05,1.0000000000000004,3.5446320978064443,-0.0059614258447490045,0.9977781925346669,0.9999999999999996,1.0000000000000004,1
kmeans_rbf_nlms,train,0.011578630542409856,0.9850242923260826,0.02176613629442446,1.0000000000000002,3.708177774905857,-0.02181745311396332,0.9878904612763661,0.9999999999999986,1.0000000000000016,1
kmeans_rbf_nlms,test,9.116380238067e-05,0.9945622538115255,0.00038829246098870065,1.0000000000000002,3.708177774905857,-0.02181745311396332,0.9878904612763661,0.9999999999999986,1.0000000000000016,1
kahkm_folding_nlms,train,0.0002081535013830016,0.9990426956370468,0.0018264869465219142,0.9999999999999997,3.8568789736040308,-0.03136860264663648,1.000806207964649,0.9999999999999943,1.0000000000000073,2
kahkm_folding_nlms,test,1.577071103473386e-05,0.9846460019592209,4.440892098500626e-16,0.9999999999999997,3.8568789736040308,-0.03136860264663648,1.000806207964649,0.9999999999999943,1.0000000000000073,2
kmeans_hard_nlms,train,0.06699005148537723,0.9219854303685855,2.220446049250313e-16,1.0000000000000013,3.5242204532077848,0.0,0.999955605981099,0.9999999999999999,1.0000000000000002,2
kmeans_hard_nlms,test,0.014781544687027188,0.9450091343488571,1.1102230246251565e-16,1.0000000000000013,3.5242204532077848,0.0,0.999955605981099,0.9999999999999999,1.0000000000000002,2
kmeans_distance_nlms,train,0.037827010497625574,0.9549773862487421,0.024395474878537205,1.0000000000000004,3.5711489498417226,-0.024395474878537205,0.9932440642994558,0.9999999999999998,1.0000000000000004,2
kmeans_distance_nlms,test,0.0011372870640704623,0.9941848806279299,0.0008428230698441876,1.0000000000000004,3.5711489498417226,-0.024395474878537205,0.9932440642994558,0.9999999999999998,1.0000000000000004,2
kmeans_rbf_nlms,train,0.013878962431210642,0.9827226941993895,0.022478792208999787,1.0000000000000016,3.701592127805774,-0.030199863811583114,0.9859025636264668,0.9999999999999986,1.0000000000000013,2
kmeans_rbf_nlms,test,5.1798184369627564e-05,0.9979218812924706,0.0005405937020900787,1.0000000000000016,3.701592127805774,-0.030199863811583114,0.9859025636264668,0.9999999999999986,1.0000000000000013,2
