task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n
MountainCar-v0,kahkm_nlms,kahkm_association,1,0.011991023761201492,0.0,0.9802337721469482,0.0,0.05075499981216245,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,10,0.48219117311330145,0.0,0.2258835441223267,0.0,0.041571247716373515,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,20,0.9045584320470361,0.0,-0.4124293624860962,0.0,0.06481462095888547,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,5,0.18876207532779657,0.0,0.6924849050153608,0.0,0.09303667563551528,0.0,1
MountainCar-v0,kahkm_nlms,kahkm_association,50,5.278290235483983,0.0,-7.169629389350824,0.0,0.6616174752267138,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.011874551576918677,0.0,0.9804257670740641,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.4830518990115404,0.0,0.22450172272247648,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.9065413551695137,0.0,-0.4155256122611404,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.18882687451909527,0.0,0.6923793396922812,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,2.9033465262891367,0.0,-3.4937402170849863,0.0,3.3306690738754696e-16,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,1,0.041760244563080445,0.0,0.9354432933770888,0.0,7.771561172376096e-16,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,10,0.5137372112834446,0.0,0.2159358390708228,0.0,0.06901726423056903,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,20,0.7418882374584955,0.0,-0.11881921996119815,0.0,0.009075026630969457,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,5,0.32199297363827384,0.0,0.5064227333024247,0.0,0.051441568512805284,0.0,1
MountainCar-v0,kmeans_distance_nlms,own_association,50,0.9096737150320172,0.0,-0.4409112389222962,0.0,1.1435297153639112e-14,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,1,0.2217927934217612,0.0,0.74171314363528,0.0,2.220446049250313e-16,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,10,0.7877791236568003,0.0,0.09021447336831512,0.0,8.881784197001252e-16,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,20,0.9649041453482629,0.0,-0.09877293630476025,0.0,1.6653345369377348e-15,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,5,0.6292873864169288,0.0,0.2700930148758517,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,kmeans_hard_nlms,own_association,50,1.367640125453639,0.0,-0.5584507256462343,0.0,2.9976021664879227e-15,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,1,0.0006448886316942894,0.0,0.9957221254997326,0.0,1.5543122344752192e-15,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,10,0.06953385812084277,0.0,0.5659542594500555,0.0,0.002622153130640002,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,20,0.27335057005708147,0.0,-0.590078518403049,0.0,9.103828801926284e-15,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,5,0.016820422144455054,0.0,0.8913424887445532,0.0,0.00017907011981010694,0.0,1
MountainCar-v0,kmeans_rbf_nlms,own_association,50,2.7244730035698193,0.0,-12.111925946081286,0.0,0.09702376521449387,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,1,2.5465274952439652e-05,0.0,0.9999580225644553,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,10,0.030100419868911994,0.0,0.9516763647934365,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,20,0.15380301204655153,0.0,0.7598431648448156,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,5,0.003980296844512222,0.0,0.9935156394096554,0.0,3.3306690738754696e-16,0.0,1
MountainCar-v0,state_dmd,kahkm_association_of_predicted_state,50,0.6827996437073054,0.0,-0.056823286974477805,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,1,1.9721984094337906e-05,0.0,0.9999674899125307,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,10,0.025336412401248752,0.0,0.9593245690374734,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,20,0.19073552708603286,0.0,0.7021746198132103,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,5,0.003084526137925053,0.0,0.9949749527459929,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_edmd_poly2,kahkm_association_of_predicted_state,50,0.6057236725059306,0.0,0.06247332072367229,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,1,1.0849670271860713e-05,0.0,0.9999821152005871,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,10,0.01643937639019842,0.0,0.9736079951321936,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,20,0.1219318034809806,0.0,0.8096086959604328,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,5,0.0017403526191215799,0.0,0.9971647657505007,0.0,4.440892098500626e-16,0.0,1
MountainCar-v0,state_edmd_poly3,kahkm_association_of_predicted_state,50,1.0563375837687787,0.0,-0.6349776507964138,0.0,4.440892098500626e-16,0.0,1
